welcome_mouse.x,welcome_mouse.y,welcome_mouse.leftButton,welcome_mouse.midButton,welcome_mouse.rightButton,welcome_mouse.time,"ID",date,expName,psychopyVersion,OS,frameRate,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,train_mouse.x,train_mouse.y,train_mouse.leftButton,train_mouse.midButton,train_mouse.rightButton,train_mouse.time,braille_mouse.x,braille_mouse.y,braille_mouse.leftButton,braille_mouse.midButton,braille_mouse.rightButton,braille_mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,nlLet,brLet,cbLet,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,testInstr_mouse.x,testInstr_mouse.y,testInstr_mouse.leftButton,testInstr_mouse.midButton,testInstr_mouse.rightButton,test_mouse.x,test_mouse.y,test_mouse.leftButton,test_mouse.midButton,test_mouse.rightButton,test_response.text,testResp,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran,nlWrd,brWrd,cbWrd
-0.223148134,-0.020370377,1,0,0,210.6108,00046,2023-10-01_19h48.18.029,vbt_B1_day1,2022.2.4,Win32,60.21194605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00046,2023-10-01_19h48.18.029,vbt_B1_day1,2022.2.4,Win32,60.21194605,-0.12037037,-0.310185185,1,0,0,6.7723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00046,2023-10-01_19h48.18.029,vbt_B1_day1,2022.2.4,Win32,60.21194605,,,,,,,-0.12037037,-0.310185185,1,0,0,46.5145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00046,2023-10-01_19h48.18.029,vbt_B1_day1,2022.2.4,Win32,60.21194605,,,,,,,,,,,,,-0.12037037,-0.310185185,1,0,0,39.3937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00046,2023-10-01_19h48.18.029,vbt_B1_day1,2022.2.4,Win32,60.21194605,,,,,,,,,,,,,,,,,,,-0.12037037,-0.310185185,1,0,0,13.8085,0,0,0,20,1,u,images/br_u.png,images/cb_u.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00046,2023-10-01_19h48.18.029,vbt_B1_day1,2022.2.4,Win32,60.21194605,,,,,,,,,,,,,,,,,,,-0.12037037,-0.310185185,1,0,0,9.8506,0,1,1,22,1,w,images/br_w.png,images/cb_w.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00046,2023-10-01_19h48.18.029,vbt_B1_day1,2022.2.4,Win32,60.21194605,,,,,,,,,,,,,,,,,,,-0.12037037,-0.310185185,1,0,0,7.6168,0,2,2,21,1,v,images/br_v.png,images/cb_v.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00046,2023-10-01_19h48.18.029,vbt_B1_day1,2022.2.4,Win32,60.21194605,,,,,,,,,,,,,,,,,,,-0.12037037,-0.310185185,1,0,0,13.25,0,3,3,18,1,s,images/br_s.png,images/cb_s.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00046,2023-10-01_19h48.18.029,vbt_B1_day1,2022.2.4,Win32,60.21194605,,,,,,,,,,,,,,,,,,,-0.12037037,-0.310185185,1,0,0,22.601,0,4,4,23,1,x,images/br_x.png,images/cb_x.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00046,2023-10-01_19h48.18.029,vbt_B1_day1,2022.2.4,Win32,60.21194605,,,,,,,,,,,,,,,,,,,-0.12037037,-0.310185185,1,0,0,29.3512,0,5,5,8,1,i,images/br_i.png,images/cb_i.png,,,,,,,,,,,,,,,,,,,,,,,,,
