welcome_mouse.x,welcome_mouse.y,welcome_mouse.leftButton,welcome_mouse.midButton,welcome_mouse.rightButton,welcome_mouse.time,"ID",date,expName,psychopyVersion,OS,frameRate,participant,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,train_mouse.x,train_mouse.y,train_mouse.leftButton,train_mouse.midButton,train_mouse.rightButton,train_mouse.time,braille_mouse.x,braille_mouse.y,braille_mouse.leftButton,braille_mouse.midButton,braille_mouse.rightButton,braille_mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,nlLet,brLet,cbLet,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,testInstr_mouse.x,testInstr_mouse.y,testInstr_mouse.leftButton,testInstr_mouse.midButton,testInstr_mouse.rightButton,test_mouse.x,test_mouse.y,test_mouse.leftButton,test_mouse.midButton,test_mouse.rightButton,test_response.text,testResp,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran,nlWrd,brWrd,cbWrd
0.725000028,0.061111097,1,0,0,20.3411,55678,2023-08-11_22h10.07.709,vbt_B1_day1,2022.2.4,Win32,60.08171113,55678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55678,2023-08-11_22h10.07.709,vbt_B1_day1,2022.2.4,Win32,60.08171113,55678,0.725000028,0.061111097,1,0,0,10.4494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55678,2023-08-11_22h10.07.709,vbt_B1_day1,2022.2.4,Win32,60.08171113,55678,,,,,,,0.725000028,0.061111097,1,0,0,42.9417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55678,2023-08-11_22h10.07.709,vbt_B1_day1,2022.2.4,Win32,60.08171113,55678,,,,,,,,,,,,,0.725000028,0.061111097,1,0,0,29.5011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55678,2023-08-11_22h10.07.709,vbt_B1_day1,2022.2.4,Win32,60.08171113,55678,,,,,,,,,,,,,,,,,,,0.725000028,0.061111097,1,0,0,10.0912,0,0,0,17,1,r,images/br_r.png,images/cb_r.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55678,2023-08-11_22h10.07.709,vbt_B1_day1,2022.2.4,Win32,60.08171113,55678,,,,,,,,,,,,,,,,,,,0.725000028,0.061111097,1,0,0,3.7996,0,1,1,23,1,x,images/br_x.png,images/cb_x.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55678,2023-08-11_22h10.07.709,vbt_B1_day1,2022.2.4,Win32,60.08171113,55678,,,,,,,,,,,,,,,,,,,0.725000028,0.061111097,1,0,0,12.0059,0,2,2,8,1,i,images/br_i.png,images/cb_i.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55678,2023-08-11_22h10.07.709,vbt_B1_day1,2022.2.4,Win32,60.08171113,55678,,,,,,,,,,,,,,,,,,,0.725000028,0.061111097,1,0,0,8.2093,0,3,3,10,1,k,images/br_k.png,images/cb_k.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55678,2023-08-11_22h10.07.709,vbt_B1_day1,2022.2.4,Win32,60.08171113,55678,,,,,,,,,,,,,,,,,,,0.725000028,0.061111097,1,0,0,7.9267,0,4,4,21,1,v,images/br_v.png,images/cb_v.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55678,2023-08-11_22h10.07.709,vbt_B1_day1,2022.2.4,Win32,60.08171113,55678,,,,,,,,,,,,,,,,,,,0.725000028,0.061111097,1,0,0,16.7717,0,5,5,25,1,z,images/br_z.png,images/cb_z.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55678,2023-08-11_22h10.07.709,vbt_B1_day1,2022.2.4,Win32,60.08171113,55678,,,,,,,,,,,,,,,,,,,0.725000028,0.061111097,1,0,0,17.2149,0,6,6,16,1,q,images/br_q.png,images/cb_q.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55678,2023-08-11_22h10.07.709,vbt_B1_day1,2022.2.4,Win32,60.08171113,55678,,,,,,,,,,,,,,,,,,,0.725000028,0.061111097,1,0,0,9.4209,0,7,7,20,1,u,images/br_u.png,images/cb_u.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55678,2023-08-11_22h10.07.709,vbt_B1_day1,2022.2.4,Win32,60.08171113,55678,,,,,,,,,,,,,,,,,,,0.725000028,0.061111097,1,0,0,17.5714,0,8,8,22,1,w,images/br_w.png,images/cb_w.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55678,2023-08-11_22h10.07.709,vbt_B1_day1,2022.2.4,Win32,60.08171113,55678,,,,,,,,,,,,,,,,,,,0.725000028,0.061111097,1,0,0,12.1267,0,9,9,14,1,o,images/br_o.png,images/cb_o.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55678,2023-08-11_22h10.07.709,vbt_B1_day1,2022.2.4,Win32,60.08171113,55678,,,,,,,,,,,,,,,,,,,0.725000028,0.061111097,1,0,0,6.9937,0,10,10,4,1,e,images/br_e.png,images/cb_e.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55678,2023-08-11_22h10.07.709,vbt_B1_day1,2022.2.4,Win32,60.08171113,55678,,,,,,,,,,,,,,,,,,,0.725000028,0.061111097,1,0,0,13.0685,0,11,11,0,1,a,images/br_a.png,images/cb_a.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55678,2023-08-11_22h10.07.709,vbt_B1_day1,2022.2.4,Win32,60.08171113,55678,,,,,,,,,,,,,,,,,,,0.725000028,0.061111097,1,0,0,23.1455,0,12,12,19,1,t,images/br_t.png,images/cb_t.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55678,2023-08-11_22h10.07.709,vbt_B1_day1,2022.2.4,Win32,60.08171113,55678,,,,,,,,,,,,,,,,,,,0.725000028,0.061111097,1,0,0,11.1938,0,13,13,24,1,y,images/br_y.png,images/cb_y.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55678,2023-08-11_22h10.07.709,vbt_B1_day1,2022.2.4,Win32,60.08171113,55678,,,,,,,,,,,,,,,,,,,0.725000028,0.061111097,1,0,0,12.7257,0,14,14,1,1,b,images/br_b.png,images/cb_b.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55678,2023-08-11_22h10.07.709,vbt_B1_day1,2022.2.4,Win32,60.08171113,55678,,,,,,,,,,,,,,,,,,,0.725000028,0.061111097,1,0,0,16.3689,0,15,15,5,1,f,images/br_f.png,images/cb_f.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55678,2023-08-11_22h10.07.709,vbt_B1_day1,2022.2.4,Win32,60.08171113,55678,,,,,,,,,,,,,,,,,,,0.725000028,0.061111097,1,0,0,11.8091,0,16,16,11,1,l,images/br_l.png,images/cb_l.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55678,2023-08-11_22h10.07.709,vbt_B1_day1,2022.2.4,Win32,60.08171113,55678,,,,,,,,,,,,,,,,,,,0.719444416,0.026851831,1,0,0,18.8504,0,17,17,3,1,d,images/br_d.png,images/cb_d.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55678,2023-08-11_22h10.07.709,vbt_B1_day1,2022.2.4,Win32,60.08171113,55678,,,,,,,,,,,,,,,,,,,0.719444416,0.026851831,1,0,0,25.7435,0,18,18,15,1,p,images/br_p.png,images/cb_p.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55678,2023-08-11_22h10.07.709,vbt_B1_day1,2022.2.4,Win32,60.08171113,55678,,,,,,,,,,,,,,,,,,,0.719444416,0.026851831,1,0,0,42.345,0,19,19,9,1,j,images/br_j.png,images/cb_j.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55678,2023-08-11_22h10.07.709,vbt_B1_day1,2022.2.4,Win32,60.08171113,55678,,,,,,,,,,,,,,,,,,,0.719444416,0.026851831,1,0,0,33.4698,0,20,20,18,1,s,images/br_s.png,images/cb_s.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55678,2023-08-11_22h10.07.709,vbt_B1_day1,2022.2.4,Win32,60.08171113,55678,,,,,,,,,,,,,,,,,,,0.719444416,0.026851831,1,0,0,28.9277,0,21,21,12,1,m,images/br_m.png,images/cb_m.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55678,2023-08-11_22h10.07.709,vbt_B1_day1,2022.2.4,Win32,60.08171113,55678,,,,,,,,,,,,,,,,,,,0.719444416,0.026851831,1,0,0,38.9811,0,22,22,13,1,n,images/br_n.png,images/cb_n.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55678,2023-08-11_22h10.07.709,vbt_B1_day1,2022.2.4,Win32,60.08171113,55678,,,,,,,,,,,,,,,,,,,0.719444416,0.026851831,1,0,0,39.7475,0,23,23,2,1,c,images/br_c.png,images/cb_c.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55678,2023-08-11_22h10.07.709,vbt_B1_day1,2022.2.4,Win32,60.08171113,55678,,,,,,,,,,,,,,,,,,,0.719444416,0.026851831,1,0,0,20.0321,0,24,24,6,1,g,images/br_g.png,images/cb_g.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55678,2023-08-11_22h10.07.709,vbt_B1_day1,2022.2.4,Win32,60.08171113,55678,,,,,,,,,,,,,,,,,,,0.719444416,0.026851831,1,0,0,33.1746,0,25,25,7,1,h,images/br_h.png,images/cb_h.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55678,2023-08-11_22h10.07.709,vbt_B1_day1,2022.2.4,Win32,60.08171113,55678,,,,,,,,,,,,,,,,,,,0.719444416,0.026851831,1,0,0,3.4967,1,0,26,7,1,h,images/br_h.png,images/cb_h.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55678,2023-08-11_22h10.07.709,vbt_B1_day1,2022.2.4,Win32,60.08171113,55678,,,,,,,,,,,,,,,,,,,0.719444416,0.026851831,1,0,0,0.4371,1,1,27,6,1,g,images/br_g.png,images/cb_g.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55678,2023-08-11_22h10.07.709,vbt_B1_day1,2022.2.4,Win32,60.08171113,55678,,,,,,,,,,,,,,,,,,,0.719444416,0.026851831,1,0,0,2.4142,1,2,28,17,1,r,images/br_r.png,images/cb_r.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55678,2023-08-11_22h10.07.709,vbt_B1_day1,2022.2.4,Win32,60.08171113,55678,,,,,,,,,,,,,,,,,,,0.719444416,0.026851831,1,0,0,2.4454,1,3,29,2,1,c,images/br_c.png,images/cb_c.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55678,2023-08-11_22h10.07.709,vbt_B1_day1,2022.2.4,Win32,60.08171113,55678,,,,,,,,,,,,,,,,,,,0.719444416,0.026851831,1,0,0,11.253,1,4,30,21,1,v,images/br_v.png,images/cb_v.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55678,2023-08-11_22h10.07.709,vbt_B1_day1,2022.2.4,Win32,60.08171113,55678,,,,,,,,,,,,,,,,,,,0.719444416,0.026851831,1,0,0,4.0463,1,5,31,20,1,u,images/br_u.png,images/cb_u.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55678,2023-08-11_22h10.07.709,vbt_B1_day1,2022.2.4,Win32,60.08171113,55678,,,,,,,,,,,,,,,,,,,0.719444416,0.026851831,1,0,0,21.0477,1,6,32,1,1,b,images/br_b.png,images/cb_b.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55678,2023-08-11_22h10.07.709,vbt_B1_day1,2022.2.4,Win32,60.08171113,55678,,,,,,,,,,,,,,,,,,,0.719444416,0.026851831,1,0,0,24.6109,1,7,33,18,1,s,images/br_s.png,images/cb_s.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55678,2023-08-11_22h10.07.709,vbt_B1_day1,2022.2.4,Win32,60.08171113,55678,,,,,,,,,,,,,,,,,,,0.719444416,0.026851831,1,0,0,19.5823,1,8,34,13,1,n,images/br_n.png,images/cb_n.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55678,2023-08-11_22h10.07.709,vbt_B1_day1,2022.2.4,Win32,60.08171113,55678,,,,,,,,,,,,,,,,,,,0.719444416,0.026851831,1,0,0,2.5603,1,9,35,11,1,l,images/br_l.png,images/cb_l.png,,,,,,,,,,,,,,,,,,,,,,,,,
