welcome_mouse.x,welcome_mouse.y,welcome_mouse.leftButton,welcome_mouse.midButton,welcome_mouse.rightButton,welcome_mouse.time,"ID",date,expName,psychopyVersion,OS,frameRate,refresh_mouse.x,refresh_mouse.y,refresh_mouse.leftButton,refresh_mouse.midButton,refresh_mouse.rightButton,refresh_mouse.time,braille_mouse.x,braille_mouse.y,braille_mouse.leftButton,braille_mouse.midButton,braille_mouse.rightButton,braille_mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,nlLet,brLet,cbLet,trainInstr_mouse.x,trainInstr_mouse.y,trainInstr_mouse.leftButton,trainInstr_mouse.midButton,trainInstr_mouse.rightButton,trainInstr_mouse.time,translation_key.keys,translation_key.corr,translation_key.rt,word_rsp.text,word_mouse.x,word_mouse.y,word_mouse.leftButton,word_mouse.midButton,word_mouse.rightButton,word_mouse.time,train_loop.thisRepN,train_loop.thisTrialN,train_loop.thisN,train_loop.thisIndex,train_loop.ran,nlWrd,brWrd,cbWrd,test,testResp,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,testInstr_mouse.x,testInstr_mouse.y,testInstr_mouse.leftButton,testInstr_mouse.midButton,testInstr_mouse.rightButton,test_mouse.x,test_mouse.y,test_mouse.leftButton,test_mouse.midButton,test_mouse.rightButton,test_response.text,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran
-0.12037037,-0.233333376,1,0,0,13.1414,00088,2023-10-24_12h57.55.115,vbt_B1_day2,2022.2.4,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00088,2023-10-24_12h57.55.115,vbt_B1_day2,2022.2.4,Win32,59.94125757,-0.157407407,-0.162037037,1,0,0,33.9427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00088,2023-10-24_12h57.55.115,vbt_B1_day2,2022.2.4,Win32,59.94125757,,,,,,,-0.146296254,-0.198148162,1,0,0,3.0673,0,0,0,17,1,r,images/br_r.png,images/cb_r.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00088,2023-10-24_12h57.55.115,vbt_B1_day2,2022.2.4,Win32,59.94125757,,,,,,,-0.135185171,-0.137037065,1,0,0,0.2303,0,1,1,8,1,i,images/br_i.png,images/cb_i.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00088,2023-10-24_12h57.55.115,vbt_B1_day2,2022.2.4,Win32,59.94125757,,,,,,,-0.137962977,-0.14444443,1,0,0,0.2974,0,2,2,14,1,o,images/br_o.png,images/cb_o.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00088,2023-10-24_12h57.55.115,vbt_B1_day2,2022.2.4,Win32,59.94125757,,,,,,,-0.138888889,-0.146296325,1,0,0,0.153,0,3,3,23,1,x,images/br_x.png,images/cb_x.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00088,2023-10-24_12h57.55.115,vbt_B1_day2,2022.2.4,Win32,59.94125757,,,,,,,-0.139814801,-0.151851866,1,0,0,0.6671,0,4,4,3,1,d,images/br_d.png,images/cb_d.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00088,2023-10-24_12h57.55.115,vbt_B1_day2,2022.2.4,Win32,59.94125757,,,,,,,-0.140740712,-0.156481496,1,0,0,3.2,0,5,5,21,1,v,images/br_v.png,images/cb_v.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00088,2023-10-24_12h57.55.115,vbt_B1_day2,2022.2.4,Win32,59.94125757,,,,,,,-0.140740712,-0.156481496,1,0,0,0.1832,0,6,6,6,1,g,images/br_g.png,images/cb_g.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00088,2023-10-24_12h57.55.115,vbt_B1_day2,2022.2.4,Win32,59.94125757,,,,,,,-0.140740712,-0.156481496,1,0,0,0.117,0,7,7,9,1,j,images/br_j.png,images/cb_j.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00088,2023-10-24_12h57.55.115,vbt_B1_day2,2022.2.4,Win32,59.94125757,,,,,,,-0.142592607,-0.143518519,1,0,0,1.0664,0,8,8,11,1,l,images/br_l.png,images/cb_l.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00088,2023-10-24_12h57.55.115,vbt_B1_day2,2022.2.4,Win32,59.94125757,,,,,,,-0.142592607,-0.143518519,1,0,0,0.6005,0,9,9,10,1,k,images/br_k.png,images/cb_k.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00088,2023-10-24_12h57.55.115,vbt_B1_day2,2022.2.4,Win32,59.94125757,,,,,,,-0.142592607,-0.14444443,1,0,0,0.9665,0,10,10,13,1,n,images/br_n.png,images/cb_n.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00088,2023-10-24_12h57.55.115,vbt_B1_day2,2022.2.4,Win32,59.94125757,,,,,,,-0.142592607,-0.14444443,1,0,0,1.8503,0,11,11,25,1,z,images/br_z.png,images/cb_z.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00088,2023-10-24_12h57.55.115,vbt_B1_day2,2022.2.4,Win32,59.94125757,,,,,,,-0.142592607,-0.14444443,1,0,0,0.467,0,12,12,7,1,h,images/br_h.png,images/cb_h.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00088,2023-10-24_12h57.55.115,vbt_B1_day2,2022.2.4,Win32,59.94125757,,,,,,,-0.142592607,-0.163888931,1,0,0,1.2502,0,13,13,1,1,b,images/br_b.png,images/cb_b.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00088,2023-10-24_12h57.55.115,vbt_B1_day2,2022.2.4,Win32,59.94125757,,,,,,,-0.138888889,-0.168518561,1,0,0,0.1158,0,14,14,5,1,f,images/br_f.png,images/cb_f.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00088,2023-10-24_12h57.55.115,vbt_B1_day2,2022.2.4,Win32,59.94125757,,,,,,,-0.138888889,-0.168518561,1,0,0,1.0669,0,15,15,20,1,u,images/br_u.png,images/cb_u.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00088,2023-10-24_12h57.55.115,vbt_B1_day2,2022.2.4,Win32,59.94125757,,,,,,,-0.138888889,-0.168518561,1,0,0,0.9329,0,16,16,18,1,s,images/br_s.png,images/cb_s.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00088,2023-10-24_12h57.55.115,vbt_B1_day2,2022.2.4,Win32,59.94125757,,,,,,,-0.138888889,-0.168518561,1,0,0,1.5667,0,17,17,24,1,y,images/br_y.png,images/cb_y.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00088,2023-10-24_12h57.55.115,vbt_B1_day2,2022.2.4,Win32,59.94125757,,,,,,,-0.133333347,-0.126851894,1,0,0,3.497,0,18,18,12,1,m,images/br_m.png,images/cb_m.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00088,2023-10-24_12h57.55.115,vbt_B1_day2,2022.2.4,Win32,59.94125757,,,,,,,-0.164814772,-0.089814822,1,0,0,3.4472,0,19,19,16,1,q,images/br_q.png,images/cb_q.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00088,2023-10-24_12h57.55.115,vbt_B1_day2,2022.2.4,Win32,59.94125757,,,,,,,-0.172222208,-0.046296296,1,0,0,0.4831,0,20,20,0,1,a,images/br_a.png,images/cb_a.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00088,2023-10-24_12h57.55.115,vbt_B1_day2,2022.2.4,Win32,59.94125757,,,,,,,-0.17314812,-0.047222243,1,0,0,1.8336,0,21,21,15,1,p,images/br_p.png,images/cb_p.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00088,2023-10-24_12h57.55.115,vbt_B1_day2,2022.2.4,Win32,59.94125757,,,,,,,-0.17314812,-0.051851873,1,0,0,0.9832,0,22,22,19,1,t,images/br_t.png,images/cb_t.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00088,2023-10-24_12h57.55.115,vbt_B1_day2,2022.2.4,Win32,59.94125757,,,,,,,-0.191666638,-0.082407422,1,0,0,0.1668,0,23,23,2,1,c,images/br_c.png,images/cb_c.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00088,2023-10-24_12h57.55.115,vbt_B1_day2,2022.2.4,Win32,59.94125757,,,,,,,-0.175000014,-0.114814829,1,0,0,1.1192,0,24,24,4,1,e,images/br_e.png,images/cb_e.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00088,2023-10-24_12h57.55.115,vbt_B1_day2,2022.2.4,Win32,59.94125757,,,,,,,-0.174074032,-0.115740741,1,0,0,0.3333,0,25,25,22,1,w,images/br_w.png,images/cb_w.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00088,2023-10-24_12h57.55.115,vbt_B1_day2,2022.2.4,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,0.597222222,-0.013888889,1,0,0,84.7224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
