welcome_mouse.x,welcome_mouse.y,welcome_mouse.leftButton,welcome_mouse.midButton,welcome_mouse.rightButton,welcome_mouse.time,"ID",date,expName,psychopyVersion,OS,frameRate,refresh_mouse.x,refresh_mouse.y,refresh_mouse.leftButton,refresh_mouse.midButton,refresh_mouse.rightButton,refresh_mouse.time,braille_mouse.x,braille_mouse.y,braille_mouse.leftButton,braille_mouse.midButton,braille_mouse.rightButton,braille_mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,nlLet,brLet,cbLet,trainInstr_mouse.x,trainInstr_mouse.y,trainInstr_mouse.leftButton,trainInstr_mouse.midButton,trainInstr_mouse.rightButton,trainInstr_mouse.time,translation_key.keys,translation_key.corr,translation_key.rt,testResp,word_rsp.text,word_mouse.x,word_mouse.y,word_mouse.leftButton,word_mouse.midButton,word_mouse.rightButton,word_mouse.time,train_loop.thisRepN,train_loop.thisTrialN,train_loop.thisN,train_loop.thisIndex,train_loop.ran,nlWrd,brWrd,cbWrd,test,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,testInstr_mouse.x,testInstr_mouse.y,testInstr_mouse.leftButton,testInstr_mouse.midButton,testInstr_mouse.rightButton,test_mouse.x,test_mouse.y,test_mouse.leftButton,test_mouse.midButton,test_mouse.rightButton,test_response.text,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran
-0.066554905,-0.111451348,1,0,0,6.5995,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,0.196172553,-0.115312839,1,0,0,5.9625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,0.280507541,0.119326308,1,0,0,1.5669,0,0,0,8,1,i,images/br_i.png,images/cb_i.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,0.219559055,-0.023119439,1,0,0,0.6676,0,1,1,19,1,t,images/br_t.png,images/cb_t.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,0.182778456,0.001934136,1,0,0,0.2865,0,2,2,21,1,v,images/br_v.png,images/cb_v.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,0.230715332,0.051716309,1,0,0,0.3334,0,3,3,13,1,n,images/br_n.png,images/cb_n.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,0.306226942,0.179138862,1,0,0,0.5661,0,4,4,0,1,a,images/br_a.png,images/cb_a.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,0.265965712,0.157849969,1,0,0,0.548,0,5,5,4,1,e,images/br_e.png,images/cb_e.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,0.266812337,0.158891195,1,0,0,3.2803,0,6,6,20,1,u,images/br_u.png,images/cb_u.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00100,2023-11-09_14h59.34.387,vbt_B1_day2,2022.2.4,MacIntel,60.0024001,,,,,,,0.249676785,0.137108527,1,0,0,0.4816,0,7,7,24,1,y,images/br_y.png,images/cb_y.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
