welcome_mouse.x,welcome_mouse.y,welcome_mouse.leftButton,welcome_mouse.midButton,welcome_mouse.rightButton,"ID",date,expName,psychopyVersion,OS,frameRate,participant,trainInstr_mouse.x,trainInstr_mouse.y,trainInstr_mouse.leftButton,trainInstr_mouse.midButton,trainInstr_mouse.rightButton,translation_key.keys,translation_key.corr,translation_key.rt,word_rsp.text,trWrd_mouse.x,trWrd_mouse.y,trWrd_mouse.leftButton,trWrd_mouse.midButton,trWrd_mouse.rightButton,train_loop.thisRepN,train_loop.thisTrialN,train_loop.thisN,train_loop.thisIndex,train_loop.ran,nlWrd,brWrd,cbWrd,test,testResp,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,testInstr_mouse.x,testInstr_mouse.y,testInstr_mouse.leftButton,testInstr_mouse.midButton,testInstr_mouse.rightButton,test_mouse.x,test_mouse.y,test_mouse.leftButton,test_mouse.midButton,test_mouse.rightButton,test_response.text,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran
-0.144565217,-0.235869565,1,0,0,,2023-09-27_13h08.36.792,vbt_B1_day4,2022.2.4,MacIntel,55.55555556,55879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-09-27_13h08.36.792,vbt_B1_day4,2022.2.4,MacIntel,55.55555556,55879,0.336956522,-0.12173913,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-09-27_13h08.36.792,vbt_B1_day4,2022.2.4,MacIntel,55.55555556,55879,,,,,,down,0,3.925,,0.336956522,-0.12173913,1,0,0,0,0,0,40,1,schep,images/br_schep.png,images/cb_schep.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-09-27_13h08.36.792,vbt_B1_day4,2022.2.4,MacIntel,55.55555556,55879,,,,,,down,0,0.543,,0.336956522,-0.12173913,1,0,0,0,1,1,132,1,grappen,images/br_grappen.png,images/cb_grappen.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-09-27_13h08.36.792,vbt_B1_day4,2022.2.4,MacIntel,55.55555556,55879,,,,,,down,0,0.202,,0.336956522,-0.12173913,1,0,0,0,2,2,63,1,flirt,images/br_flirt.png,images/cb_flirt.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-09-27_13h08.36.792,vbt_B1_day4,2022.2.4,MacIntel,55.55555556,55879,,,,,,down,0,0.408,,0.336956522,-0.12173913,1,0,0,0,3,3,91,1,gezond,images/br_gezond.png,images/cb_gezond.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-09-27_13h08.36.792,vbt_B1_day4,2022.2.4,MacIntel,55.55555556,55879,,,,,,down,0,0.021,,0.336956522,-0.12173913,1,0,0,0,4,4,2,1,jaar,images/br_jaar.png,images/cb_jaar.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-09-27_13h08.36.792,vbt_B1_day4,2022.2.4,MacIntel,55.55555556,55879,,,,,,down,0,0.439,,0.336956522,-0.12173913,1,0,0,0,5,5,92,1,geheim,images/br_geheim.png,images/cb_geheim.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-09-27_13h08.36.792,vbt_B1_day4,2022.2.4,MacIntel,55.55555556,55879,,,,,,down,0,0.9,,0.336956522,-0.12173913,1,0,0,0,6,6,1,1,zaal,images/br_zaal.png,images/cb_zaal.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-09-27_13h08.36.792,vbt_B1_day4,2022.2.4,MacIntel,55.55555556,55879,,,,,,down,0,0.15,,0.336956522,-0.12173913,1,0,0,0,7,7,87,1,toeval,images/br_toeval.png,images/cb_toeval.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-09-27_13h08.36.792,vbt_B1_day4,2022.2.4,MacIntel,55.55555556,55879,,,,,,down,0,0.333,,0.336956522,-0.12173913,1,0,0,0,8,8,196,1,nakijken,images/br_nakijken.png,images/cb_nakijken.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-09-27_13h08.36.792,vbt_B1_day4,2022.2.4,MacIntel,55.55555556,55879,,,,,,down,0,0.116,,0.336956522,-0.12173913,1,0,0,0,9,9,78,1,leren,images/br_leren.png,images/cb_leren.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-09-27_13h08.36.792,vbt_B1_day4,2022.2.4,MacIntel,55.55555556,55879,,,,,,down,0,1.266,,0.336956522,-0.12173913,1,0,0,0,10,10,191,1,opheffen,images/br_opheffen.png,images/cb_opheffen.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-09-27_13h08.36.792,vbt_B1_day4,2022.2.4,MacIntel,55.55555556,55879,,,,,,down,0,0.266,,0.336956522,-0.12173913,1,0,0,0,11,11,169,1,oprotten,images/br_oprotten.png,images/cb_oprotten.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-09-27_13h08.36.792,vbt_B1_day4,2022.2.4,MacIntel,55.55555556,55879,,,,,,down,0,0.017,,0.336956522,-0.12173913,1,0,0,0,12,12,48,1,steel,images/br_steel.png,images/cb_steel.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-09-27_13h08.36.792,vbt_B1_day4,2022.2.4,MacIntel,55.55555556,55879,,,,,,down,0,0.277,,0.336956522,-0.12173913,1,0,0,0,13,13,164,1,anarchie,images/br_anarchie.png,images/cb_anarchie.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-09-27_13h08.36.792,vbt_B1_day4,2022.2.4,MacIntel,55.55555556,55879,,,,,,down,0,6.623,,0.336956522,-0.12173913,1,0,0,0,14,14,185,1,mijnheer,images/br_mijnheer.png,images/cb_mijnheer.png,1,mijnheer,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-09-27_13h08.36.792,vbt_B1_day4,2022.2.4,MacIntel,55.55555556,55879,,,,,,down,0,0.794,,0.336956522,-0.12173913,1,0,0,0,15,15,82,1,muziek,images/br_muziek.png,images/cb_muziek.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-09-27_13h08.36.792,vbt_B1_day4,2022.2.4,MacIntel,55.55555556,55879,,,,,,down,0,0.992,,0.336956522,-0.12173913,1,0,0,0,16,16,144,1,eetlust,images/br_eetlust.png,images/cb_eetlust.png,1,eetlust,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-09-27_13h08.36.792,vbt_B1_day4,2022.2.4,MacIntel,55.55555556,55879,,,,,,down,0,0.556,,0.336956522,-0.12173913,1,0,0,0,17,17,103,1,joggen,images/br_joggen.png,images/cb_joggen.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-09-27_13h08.36.792,vbt_B1_day4,2022.2.4,MacIntel,55.55555556,55879,,,,,,down,0,3.54,,0.336956522,-0.12173913,1,0,0,0,18,18,155,1,gerucht,images/br_gerucht.png,images/cb_gerucht.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-09-27_13h08.36.792,vbt_B1_day4,2022.2.4,MacIntel,55.55555556,55879,,,,,,down,0,0.683,,0.336956522,-0.12173913,1,0,0,0,19,19,21,1,mist,images/br_mist.png,images/cb_mist.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-09-27_13h08.36.792,vbt_B1_day4,2022.2.4,MacIntel,55.55555556,55879,,,,,,down,0,0.524,,0.336956522,-0.12173913,1,0,0,0,20,20,111,1,ticket,images/br_ticket.png,images/cb_ticket.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-09-27_13h08.36.792,vbt_B1_day4,2022.2.4,MacIntel,55.55555556,55879,,,,,,down,0,0.215,,0.336956522,-0.12173913,1,0,0,0,21,21,13,1,kaal,images/br_kaal.png,images/cb_kaal.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-09-27_13h08.36.792,vbt_B1_day4,2022.2.4,MacIntel,55.55555556,55879,,,,,,down,0,4.184,,0.336956522,-0.12173913,1,0,0,0,22,22,79,1,nodig,images/br_nodig.png,images/cb_nodig.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-09-27_13h08.36.792,vbt_B1_day4,2022.2.4,MacIntel,55.55555556,55879,,,,,,down,0,0.518,,0.336956522,-0.12173913,1,0,0,0,23,23,81,1,dubbel,images/br_dubbel.png,images/cb_dubbel.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-09-27_13h08.36.792,vbt_B1_day4,2022.2.4,MacIntel,55.55555556,55879,,,,,,down,0,3.641,,0.336956522,-0.12173913,1,0,0,0,24,24,94,1,oceaan,images/br_oceaan.png,images/cb_oceaan.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-09-27_13h08.36.792,vbt_B1_day4,2022.2.4,MacIntel,55.55555556,55879,,,,,,down,0,5.816,,0.336956522,-0.12173913,1,0,0,0,25,25,101,1,staren,images/br_staren.png,images/cb_staren.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-09-27_13h08.36.792,vbt_B1_day4,2022.2.4,MacIntel,55.55555556,55879,,,,,,down,0,0.056,,0.336956522,-0.12173913,1,0,0,0,26,26,151,1,aanzoek,images/br_aanzoek.png,images/cb_aanzoek.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-09-27_13h08.36.792,vbt_B1_day4,2022.2.4,MacIntel,55.55555556,55879,,,,,,down,0,0.522,,0.336956522,-0.12173913,1,0,0,0,27,27,77,1,woede,images/br_woede.png,images/cb_woede.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-09-27_13h08.36.792,vbt_B1_day4,2022.2.4,MacIntel,55.55555556,55879,,,,,,down,0,0.286,,0.336956522,-0.12173913,1,0,0,0,28,28,98,1,kreeft,images/br_kreeft.png,images/cb_kreeft.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-09-27_13h08.36.792,vbt_B1_day4,2022.2.4,MacIntel,55.55555556,55879,,,,,,down,0,0.634,,0.336956522,-0.12173913,1,0,0,0,29,29,76,1,afval,images/br_afval.png,images/cb_afval.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-09-27_13h08.36.792,vbt_B1_day4,2022.2.4,MacIntel,55.55555556,55879,,,,,,down,0,1.425,,0.336956522,-0.12173913,1,0,0,0,30,30,18,1,blik,images/br_blik.png,images/cb_blik.png,0,,,,,,,,,,,,,,,,,,,,,,
