welcome_mouse.x,welcome_mouse.y,welcome_mouse.leftButton,welcome_mouse.midButton,welcome_mouse.rightButton,welcome_mouse.time,"ID",date,expName,psychopyVersion,OS,frameRate,participant,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,train_mouse.x,train_mouse.y,train_mouse.leftButton,train_mouse.midButton,train_mouse.rightButton,train_mouse.time,braille_mouse.x,braille_mouse.y,braille_mouse.leftButton,braille_mouse.midButton,braille_mouse.rightButton,braille_mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,nlLet,brLet,cbLet,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,testInstr_mouse.x,testInstr_mouse.y,testInstr_mouse.leftButton,testInstr_mouse.midButton,testInstr_mouse.rightButton,test_mouse.x,test_mouse.y,test_mouse.leftButton,test_mouse.midButton,test_mouse.rightButton,test_response.text,testResp,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran,nlWrd,brWrd,cbWrd
-0.072222222,-0.350925926,1,0,0,24.3842,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,-0.059259259,-0.330555556,1,0,0,12.0265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,0.042592593,-0.348148148,1,0,0,35.9115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,0.010185185,-0.238888889,1,0,0,38.3728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,0.010185185,-0.238888889,1,0,0,28.4162,0,0,0,3,1,d,images/br_d.png,images/cb_d.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,0.010185185,-0.238888889,1,0,0,4.9326,0,1,1,8,1,i,images/br_i.png,images/cb_i.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,0.010185185,-0.238888889,1,0,0,7.3335,0,2,2,17,1,r,images/br_r.png,images/cb_r.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,0.010185185,-0.238888889,1,0,0,4.2837,0,3,3,9,1,j,images/br_j.png,images/cb_j.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,0.010185185,-0.238888889,1,0,0,4.7242,0,4,4,10,1,k,images/br_k.png,images/cb_k.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,0.010185185,-0.238888889,1,0,0,4.6178,0,5,5,20,1,u,images/br_u.png,images/cb_u.png,,,,,,,,,,,,,,,,,,,,,,,,,
