welcome_mouse.x,welcome_mouse.y,welcome_mouse.leftButton,welcome_mouse.midButton,welcome_mouse.rightButton,welcome_mouse.time,"ID",date,expName,psychopyVersion,OS,frameRate,refresh_mouse.x,refresh_mouse.y,refresh_mouse.leftButton,refresh_mouse.midButton,refresh_mouse.rightButton,refresh_mouse.time,braille_mouse.x,braille_mouse.y,braille_mouse.leftButton,braille_mouse.midButton,braille_mouse.rightButton,braille_mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,nlLet,brLet,cbLet,trainInstr_mouse.x,trainInstr_mouse.y,trainInstr_mouse.leftButton,trainInstr_mouse.midButton,trainInstr_mouse.rightButton,trainInstr_mouse.time,translation_key.keys,translation_key.corr,translation_key.rt,testResp,word_rsp.text,word_mouse.x,word_mouse.y,word_mouse.leftButton,word_mouse.midButton,word_mouse.rightButton,word_mouse.time,train_loop.thisRepN,train_loop.thisTrialN,train_loop.thisN,train_loop.thisIndex,train_loop.ran,nlWrd,brWrd,cbWrd,test,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,testInstr_mouse.x,testInstr_mouse.y,testInstr_mouse.leftButton,testInstr_mouse.midButton,testInstr_mouse.rightButton,test_mouse.x,test_mouse.y,test_mouse.leftButton,test_mouse.midButton,test_mouse.rightButton,test_response.text,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran
-0.126952456,-0.221169864,1,0,0,5.1536,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,-0.126952456,-0.221169864,1,0,0,7.7791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,-0.126952456,-0.221169864,1,0,0,2.2002,0,0,0,8,1,i,images/br_i.png,images/cb_i.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,-0.126952456,-0.221169864,1,0,0,0.6169,0,1,1,17,1,r,images/br_r.png,images/cb_r.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,-0.126952456,-0.221169864,1,0,0,1.1333,0,2,2,14,1,o,images/br_o.png,images/cb_o.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,-0.126952456,-0.221169864,1,0,0,0.75,0,3,3,18,1,s,images/br_s.png,images/cb_s.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,-0.126952456,-0.221169864,1,0,0,3.8847,0,4,4,9,1,j,images/br_j.png,images/cb_j.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,-0.126287763,-0.221169864,1,0,0,3.856,0,5,5,1,1,b,images/br_b.png,images/cb_b.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,-0.120305709,-0.201894317,1,0,0,0.8015,0,6,6,12,1,m,images/br_m.png,images/cb_m.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,-0.103688933,-0.211199775,1,0,0,4.1843,0,7,7,16,1,q,images/br_q.png,images/cb_q.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
