welcome_mouse.x,welcome_mouse.y,welcome_mouse.leftButton,welcome_mouse.midButton,welcome_mouse.rightButton,"ID",date,expName,psychopyVersion,OS,frameRate,trainInstr_mouse.x,trainInstr_mouse.y,trainInstr_mouse.leftButton,trainInstr_mouse.midButton,trainInstr_mouse.rightButton,translation_key.keys,translation_key.corr,translation_key.rt,testResp,word_rsp.text,trWrd_mouse.x,trWrd_mouse.y,trWrd_mouse.leftButton,trWrd_mouse.midButton,trWrd_mouse.rightButton,train_loop.thisRepN,train_loop.thisTrialN,train_loop.thisN,train_loop.thisIndex,train_loop.ran,nlWrd,brWrd,cbWrd,test,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,testInstr_mouse.x,testInstr_mouse.y,testInstr_mouse.leftButton,testInstr_mouse.midButton,testInstr_mouse.rightButton,test_mouse.x,test_mouse.y,test_mouse.leftButton,test_mouse.midButton,test_mouse.rightButton,test_response.text,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran
-0.047503397,0.016779891,1,0,0,00017,2023-08-18_23h49.10.228,vbt_B2_day3,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,00017,2023-08-18_23h49.10.228,vbt_B2_day3,2022.2.4,MacIntel,60.0024001,0.011990489,-0.04721892,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,00017,2023-08-18_23h49.10.228,vbt_B2_day3,2022.2.4,MacIntel,60.0024001,,,,,,down,0,7.7535,site,,0.062797215,-0.236272928,1,0,0,0,0,0,20,1,site,images/br_site.png,images/cb_site.png,1,,,,,,,,,,,,,,,,,,,,,
,,,,,00017,2023-08-18_23h49.10.228,vbt_B2_day3,2022.2.4,MacIntel,60.0024001,,,,,,down,0,2.8128,,,-0.050326936,-0.261523438,1,0,0,0,1,1,132,1,grappen,images/br_grappen.png,images/cb_grappen.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,00017,2023-08-18_23h49.10.228,vbt_B2_day3,2022.2.4,MacIntel,60.0024001,,,,,,down,0,2.4736,,,-0.050326936,-0.261523438,1,0,0,0,2,2,74,1,graaf,images/br_graaf.png,images/cb_graaf.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,00017,2023-08-18_23h49.10.228,vbt_B2_day3,2022.2.4,MacIntel,60.0024001,,,,,,down,0,2.3854,,,-0.050326936,-0.261523438,1,0,0,0,3,3,192,1,schaamte,images/br_schaamte.png,images/cb_schaamte.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,00017,2023-08-18_23h49.10.228,vbt_B2_day3,2022.2.4,MacIntel,60.0024001,,,,,,down,0,7.9085,,,-0.050326936,-0.261523438,1,0,0,0,4,4,167,1,eenhoorn,images/br_eenhoorn.png,images/cb_eenhoorn.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,00017,2023-08-18_23h49.10.228,vbt_B2_day3,2022.2.4,MacIntel,60.0024001,,,,,,down,0,5.3408,flirt,,-0.040888247,-0.166873302,1,0,0,0,5,5,63,1,flirt,images/br_flirt.png,images/cb_flirt.png,1,,,,,,,,,,,,,,,,,,,,,
,,,,,00017,2023-08-18_23h49.10.228,vbt_B2_day3,2022.2.4,MacIntel,60.0024001,,,,,,down,0,4.8297,,,-0.040888247,-0.166873302,1,0,0,0,6,6,145,1,invloed,images/br_invloed.png,images/cb_invloed.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,00017,2023-08-18_23h49.10.228,vbt_B2_day3,2022.2.4,MacIntel,60.0024001,,,,,,down,0,2.0353,,,-0.040888247,-0.166873302,1,0,0,0,7,7,97,1,loyaal,images/br_loyaal.png,images/cb_loyaal.png,0,,,,,,,,,,,,,,,,,,,,,
