welcome_mouse.x,welcome_mouse.y,welcome_mouse.leftButton,welcome_mouse.midButton,welcome_mouse.rightButton,"ID",date,expName,psychopyVersion,OS,frameRate,trainInstr_mouse.x,trainInstr_mouse.y,trainInstr_mouse.leftButton,trainInstr_mouse.midButton,trainInstr_mouse.rightButton,translation_key.keys,translation_key.corr,translation_key.rt,word_rsp.text,trWrd_mouse.x,trWrd_mouse.y,trWrd_mouse.leftButton,trWrd_mouse.midButton,trWrd_mouse.rightButton,train_loop.thisRepN,train_loop.thisTrialN,train_loop.thisN,train_loop.thisIndex,train_loop.ran,nlWrd,brWrd,cbWrd,test,testResp,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,testInstr_mouse.x,testInstr_mouse.y,testInstr_mouse.leftButton,testInstr_mouse.midButton,testInstr_mouse.rightButton,test_mouse.x,test_mouse.y,test_mouse.leftButton,test_mouse.midButton,test_mouse.rightButton,test_response.text,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran
0.109756098,0.073170732,1,0,0,,2023-10-16_09h54.17,vbt_B2_day4,2022.2.4,MacIntel,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-10-16_09h54.17,vbt_B2_day4,2022.2.4,MacIntel,200,0.109756098,0.073170732,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-10-16_09h54.17,vbt_B2_day4,2022.2.4,MacIntel,200,,,,,,down,0,4.519,,0.109756098,0.073170732,1,0,0,0,0,0,47,1,kabel,images/br_kabel.png,images/cb_kabel.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-10-16_09h54.17,vbt_B2_day4,2022.2.4,MacIntel,200,,,,,,down,0,2.46,,0.113414634,0.073170732,1,0,0,0,1,1,45,1,piste,images/br_piste.png,images/cb_piste.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-10-16_09h54.17,vbt_B2_day4,2022.2.4,MacIntel,200,,,,,,down,0,2.759,,0.114634146,0.070731707,1,0,0,0,2,2,130,1,keihard,images/br_keihard.png,images/cb_keihard.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-10-16_09h54.17,vbt_B2_day4,2022.2.4,MacIntel,200,,,,,,down,0,0.267,,0.115853659,0.070731707,1,0,0,0,3,3,7,1,geld,images/br_geld.png,images/cb_geld.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-10-16_09h54.17,vbt_B2_day4,2022.2.4,MacIntel,200,,,,,,down,0,0.443,,0.117073171,0.069512195,1,0,0,0,4,4,99,1,koffie,images/br_koffie.png,images/cb_koffie.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-10-16_09h54.17,vbt_B2_day4,2022.2.4,MacIntel,200,,,,,,down,0,1.551,,0.117073171,0.069512195,1,0,0,0,5,5,63,1,flirt,images/br_flirt.png,images/cb_flirt.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-10-16_09h54.17,vbt_B2_day4,2022.2.4,MacIntel,200,,,,,,down,0,0.884,,0.117073171,0.070731707,1,0,0,0,6,6,121,1,twijfel,images/br_twijfel.png,images/cb_twijfel.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-10-16_09h54.17,vbt_B2_day4,2022.2.4,MacIntel,200,,,,,,down,0,0.733,,0.117073171,0.069512195,1,0,0,0,7,7,11,1,mode,images/br_mode.png,images/cb_mode.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-10-16_09h54.17,vbt_B2_day4,2022.2.4,MacIntel,200,,,,,,down,0,1.761,,0.118292683,0.068292683,1,0,0,0,8,8,132,1,grappen,images/br_grappen.png,images/cb_grappen.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-10-16_09h54.17,vbt_B2_day4,2022.2.4,MacIntel,200,,,,,,down,0,4.208,,0.124390244,0.076829268,1,0,0,0,9,9,105,1,wijlen,images/br_wijlen.png,images/cb_wijlen.png,1,wijlen,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-10-16_09h54.17,vbt_B2_day4,2022.2.4,MacIntel,200,,,,,,down,0,4.531,,0.129268293,0.073170732,1,0,0,0,10,10,177,1,maaltijd,images/br_maaltijd.png,images/cb_maaltijd.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-10-16_09h54.17,vbt_B2_day4,2022.2.4,MacIntel,200,,,,,,down,0,1.809,,0.129268293,0.073170732,1,0,0,0,11,11,163,1,schuilen,images/br_schuilen.png,images/cb_schuilen.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-10-16_09h54.17,vbt_B2_day4,2022.2.4,MacIntel,200,,,,,,down,0,1.591,,0.129268293,0.07195122,1,0,0,0,12,12,115,1,kleren,images/br_kleren.png,images/cb_kleren.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-10-16_09h54.17,vbt_B2_day4,2022.2.4,MacIntel,200,,,,,,down,0,0.665,,0.130487805,0.070731707,1,0,0,0,13,13,17,1,taal,images/br_taal.png,images/cb_taal.png,0,,,,,,,,,,,,,,,,,,,,,,
