nlLet,letter,readingTime,checkingTime
d,d,1.5358999999761664,11.50430000001191
g,g,1.5079000000059608,5.75800000000001
h,h,1.5100999999940399,7.740300000011928
v,v,1.5096999999880722,5.971300000011922
u,u,1.5098999999761418,2.808200000017905
e,e,1.5099000000059561,5.222099999994043
l,l,1.5111999999880652,10.371499999999997
i,i,1.5074999999999932,4.057900000005958
s,s,1.5133000000119239,4.751000000000005
q,q,1.5110999999940589,1.8605999999940366
x,x,1.5270999999940216,5.521200000017899
y,y,1.5068999999761559,5.273700000017868
r,r,1.5095999999940375,2.4070000000000107
w,w,1.5109999999999957,4.273300000011915
n,n,1.51309999999404,3.7865999999940527
t,t,1.5135999999940282,3.2225999999940314
k,k,1.5268000000119457,3.6363000000119143
p,p,1.5112999999821,3.1040000000000134
f,f,1.5105000000000075,12.290200000017876
m,m,1.5113999999761631,3.556200000017867
o,o,1.510900000005961,2.454499999999996
b,b,1.510899999976175,3.3892000000178655
c,c,1.5114000000059775,2.12319999998806
z,z,1.5068000000119355,2.709199999988101
j,j,1.5074999999999932,8.075699999988046
a,a,1.509999999999991,3.9735000000000014
s,s,1.5060000000000286,43.72260000002382
i,i,1.509999999999991,5.494199999988098
y,y,1.5040999999940254,9.345800000011934
u,u,1.5040999999940254,6.074599999994064
r,r,1.5089000000059514,6.641199999988089
t,t,1.5077000000179055,6.143400000005954
x,x,1.5039999999999623,5.545099999994079
b,b,1.5084000000059632,7.0560999999939895
p,p,1.5092999999821473,5.723700000017857
v,v,1.5095000000000027,13.510699999988105
n,n,1.50740000000593,6.924099999994041
d,d,1.5080000000000382,5.407800000011889
h,h,1.5092999999821473,4.021500000000003
f,f,1.5112000000178796,7.058299999982125
g,g,1.50920000001787,11.272599999994043
q,q,1.5095000000000027,4.620900000005918
z,z,1.5136999999880913,4.42349999999999
e,e,1.5099000000059846,3.4884999999999877
c,c,1.5116999999880818,5.40500000000003
k,k,1.5095000000000027,7.323800000011886
o,o,1.5103000000119096,3.6050999999940814
a,a,1.5100999999939972,11.940800000011961
j,j,1.5100999999939972,22.45700000000005
w,w,1.5061999999880982,6.943300000011845
m,m,1.5241999999881273,6.390400000005911
l,l,1.5085000000000264,1.956800000011981
p,p,1.5100999999939404,24.206400000006056
y,y,1.5085999999939759,5.558499999999981
w,w,1.5060000000000855,5.843900000005874
z,z,1.50569999998811,4.977199999988102
t,t,1.5067000000178723,4.860099999994077
m,m,1.506900000005885,2.543400000006045
f,f,1.5049999999999955,4.144099999993955
x,x,1.5057999999821732,16.510600000023828
r,r,1.5054999999999836,11.70609999999408
s,s,1.5095000000000027,5.062000000000012
j,j,1.50469999998802,4.841800000011972
i,i,1.509099999993964,3.1405999999940377
v,v,1.509599999994066,6.107600000023808
b,b,1.5077999999821259,10.458300000011945
c,c,1.5090000000000146,3.522199999988061
a,a,1.5109000000060178,6.174400000005903
h,h,1.510499999999979,4.920099999994022
d,d,1.5105999999940423,2.4060000000000628
q,q,1.5105999999940423,9.925100000023804
o,o,1.507899999976189,5.610200000017926
l,l,1.5065999999940232,3.8908000000118363
e,e,1.5110999999941441,2.6224999999999454
u,u,1.5085999999940896,6.477199999987988
n,n,1.5067000000178723,5.841299999982198
k,k,1.5079999999999245,4.072200000017915
g,g,1.5109000000060178,8.391199999988089
w,w,1.509999999999991,5.32259999999394
n,n,1.5085999999940896,5.039999999999964
b,b,1.5120000000000573,6.121900000005894
f,f,1.5055000000000973,6.593800000011925
d,d,1.5114000000058923,3.953299999982164
u,u,1.51299999999992,8.672500000000014
j,j,1.5105000000000928,4.055099999994013
p,p,1.5086000000237618,5.310699999988174
a,a,1.5054999999999836,5.240400000005934
t,t,1.5087999999821022,5.174499999999966
k,k,1.5091000000238637,17.774199999988127
x,x,1.5090000000000146,4.306900000005953
r,r,1.5102999999820668,110.36890000000597
g,g,1.5095000000000027,5.074300000011931
c,c,1.50750000000005,4.757799999982126
h,h,1.50910000002375,4.7943999999762354
q,q,1.5051000000238446,183.87029999998208
s,s,1.5074999999999363,6.05880000001207
m,m,1.5069999999998345,65.20269999998823
i,i,1.5110999999940304,4.774800000011965
l,l,1.5060999999939213,2.7790999999940595
e,e,1.5038000000120064,4.607999999999947
o,o,1.509499999999889,4.489800000011883
y,y,1.5075000000001637,6.242799999982026
v,v,1.5090999999940777,8.825600000023769
z,z,1.5073999999763146,5.578700000017761
h,h,1.50649999999996,4.957000000000107
k,k,1.5065999999940232,4.492699999987963
s,s,1.5084000000060769,4.573800000011943
q,q,1.5090000000000146,6.496499999999969
y,y,1.504299999982095,12.774100000023736
m,m,1.5085999999942032,4.791099999994003
e,e,1.5078000000119118,9.525899999976218
j,j,1.508700000017825,6.891499999999951
o,o,1.5076999999880627,4.806500000000142
l,l,1.5098000000118645,4.391499999999951
f,f,1.5090000000000146,7.022799999982226
i,i,1.5104000000058022,3.7394000000060714
a,a,1.5109999999999673,6.12219999998797
