nlLet,letter,readingTime,checkingTime
o,o,1.506299999713896,2.4650999999046306
t,t,1.507700000286107,3.492299999713893
d,d,1.508800000190739,1.5883000001907348
k,k,1.508499999999998,1.6230999999046318
p,p,1.5080000000000027,1.9710999999046308
y,y,1.501800000190748,2.234199999809263
l,l,1.5026999998092663,1.566999999999993
b,b,1.508499999999998,1.7690000000000055
z,z,1.5028000001907316,2.295800000190738
v,v,1.503399999618523,1.615300000190743
x,x,1.5079999999999956,1.8821999998092593
g,g,1.5072000002861046,1.7696999998092764
h,h,1.5074999999999932,1.9920000000000044
a,a,1.5015999999046272,1.5119000000953662
q,q,1.5017000002861067,1.887999999999991
n,n,1.5072999997139078,1.8189000000953683
s,s,1.5014000000953587,1.5745000000000005
w,w,1.5030999999046344,1.580599999904635
u,u,1.5085999999046322,2.699400000095366
m,m,1.501800000190741,1.7412999997138883
e,e,1.501800000190741,1.8180999999046321
c,c,1.5012000002861043,1.8323999996185307
r,r,1.5076000003814727,1.5486999998092585
i,i,1.5084000000953637,1.8245000000000005
j,j,1.5074000000953731,2.4843999996185033
f,f,1.5019000000953895,1.8150999999046178
