nlLet,letter,readingTime,checkingTime
n,n,1.5153000000715195,13.050699999928483
e,e,1.51720000004768,5.735299999952318
o,o,1.517400000095364,3.001099999904639
x,x,1.517300000071529,5.96879999995231
f,f,1.51720000004768,2.3341999999284866
j,j,1.5172000000476658,1.900600000023843
d,d,1.5173999999761634,4.951999999999998
a,a,1.517100000023845,2.0841000000238523
i,i,1.517199999928465,1.7839999999999918
s,s,1.5172000000476942,2.9678999999761686
q,q,1.5172000000476658,4.718199999928487
p,p,1.5172000000476658,1.9176999999284874
k,k,1.516999999999996,2.3844000000953827
r,r,1.517199999928465,4.501800000071512
u,u,1.516999999999996,1.8340000000000032
m,m,1.5172999999523142,2.000799999952335
c,c,1.5004999999999882,1.7838000000715226
w,w,1.5173999999761634,1.650600000023843
h,h,1.517199999928465,4.885000000000019
y,y,1.517400000095364,1.600599999904631
z,z,1.5172000000476942,4.334899999976159
b,b,1.5173000000715149,2.4676999999284703
g,g,1.5172000000476942,2.217399999976152
v,v,1.5172000000476942,1.7504999999999882
t,t,1.517499999999984,1.6838999999761768
l,l,1.517199999928465,1.7839000000953718
h,h,1.517199999928465,1.6341000000238637
e,e,1.5172000000476658,3.901399999976178
s,s,1.517199999928465,2.3841000000238353
j,j,1.5173000000715149,1.5672999999523256
p,p,1.5172000000476942,3.0847999999523097
w,w,1.516999999999996,1.7337999999523106
i,i,1.517400000095364,2.584199999928501
b,b,1.517399999976135,4.101500000000016
v,v,1.517100000023845,3.7013000000715124
d,d,1.517399999976135,1.7005000000000337
u,u,1.517399999976135,2.417600000023839
x,x,1.50029999995229,2.100999999999999
o,o,1.5172000000476942,1.6341000000238637
g,g,1.5167999999522976,1.7173999999761804
k,k,1.517399999976135,1.9172000000476714
f,f,1.5007000000476864,4.234799999952315
y,y,1.5172999999523427,9.503400000095382
r,r,1.517399999976135,1.9338999999761768
l,l,1.5006000000238373,12.221199999928444
t,t,1.5172000000476942,1.8174999999999955
m,m,1.5004999999999882,4.684899999976153
q,q,1.5173000000715433,2.78449999999998
c,c,1.5170999999046444,6.602400000095372
n,n,1.5173999999761918,2.6508999999761613
a,a,1.5172000000476373,4.2850999999046735
z,z,1.5172000000476373,4.885200000047689
u,u,1.516999999999996,10.43719999992851
t,t,1.517399999976135,1.6506000000238714
k,k,1.5173000000714865,1.6171999999285163
l,l,1.517100000023845,3.3178999999761345
q,q,1.5173000000715433,5.0849999999999795
o,o,1.517399999976135,1.7506999999284858
b,b,1.5173000000715433,2.000699999928486
s,s,1.517100000023845,3.4512000000476633
w,w,1.517399999976135,3.3511000000238482
i,i,1.5172999999523427,3.8517000000476855
m,m,1.516999999999996,3.951399999976161
a,a,1.5172000000476942,2.6845999999046057
j,j,1.516999999999996,9.587100000023838
f,f,1.517100000023845,19.59039999997617
p,p,1.5173000000715433,4.851799999952277
d,d,1.5172999999523427,5.435400000095342
x,x,1.5171999999284935,11.537500000000023
v,v,1.517399999976135,2.1340000000000146
g,g,1.5173000000714865,7.052600000023858
n,n,1.5172999999523427,3.417799999952308
c,c,1.5174000000953356,1.6173999999761577
z,z,1.5170000000000528,4.751799999952311
y,y,1.5173000000714865,428.6920000000001
h,h,1.517299999952229,2.0508999999761954
r,r,1.5004999999999882,1.9007000000476637
e,e,1.5171999999284935,2.08400000000006
g,g,1.5173000000714865,3.084500000000048
m,m,1.517299999952229,1.5505000000000564
r,r,1.5172000000476373,2.100799999952301
a,a,1.517200000047751,2.717600000023822
f,f,1.5171999999284935,2.2677000000476255
n,n,1.5006000000238373,8.753199999928484
z,z,1.50389999997617,14.451800000071557
k,k,1.5173999999761918,2.250899999976127
j,j,1.5172000000476373,1.91729999995232
d,d,1.5173000000716002,1.93389999997612
u,u,1.5173999999761918,1.833799999952248
b,b,1.5007000000476864,1.7507000000476864
c,c,1.5170999999046444,2.034300000071539
y,y,1.5171000000237882,2.0006999999285426
q,q,1.5173000000714865,2.1341999999284553
e,e,1.500399999976139,1.5340000000001055
w,w,1.5171000000237882,1.85089999997615
v,v,1.5171000000239019,2.3173999999761463
s,s,1.5173000000714865,2.3007999999523463
t,t,1.5006000000238373,1.7007999999523236
i,i,1.517200000047751,1.7506000000237236
h,h,1.5172999999521153,4.951700000047822
o,o,1.517299999952229,1.683800000071642
l,l,1.517299999952229,1.8341000000239092
x,x,1.5171999999283798,7.4528000000716474
p,p,1.5171999999283798,8.16970000004767
t,t,1.517200000047751,9.686899999976049
d,d,1.5036999999285854,3.1979999999998654
u,u,1.5173000000716002,2.15069999992852
b,b,1.5173000000716002,1.8841000000238637
m,m,1.5005999999045798,1.60060000002386
x,x,1.5171000000236745,2.917899999976271
j,j,1.517200000047751,2.4673999999761236
o,o,1.517299999952229,1.8674000000953583
h,h,1.5171999999286072,1.5671000000238564
w,w,1.517399999976078,2.317600000023731
z,z,1.517200000047751,2.067299999952411
e,e,1.517299999952229,1.6008000000715583
g,g,1.5171000000239019,1.7172999999522744
q,q,1.5171000000239019,3.0011000000238255
a,a,1.517299999952229,1.7338999999760745
k,k,1.517200000047751,1.6175000000000637
s,s,1.5171000000239019,2.717799999952149
p,p,1.5171000000239019,7.352799999952367
n,n,1.5171000000239019,1.6006000000236327
i,i,1.5171999999286072,1.9839999999999236
r,r,1.5175000000001546,1.5169999999998254
c,c,1.5008000000716493,6.16889999997602
f,f,1.517200000047751,36.09659999990458
y,y,1.5173000000716002,9.32019999992849
l,l,1.5171000000239019,3.351399999976138
v,v,1.5171000000236745,10.654100000023845
p,p,1.5171000000239019,1.9171999999284708
i,i,1.5008000000716493,2.750899999976127
f,f,1.517299999952229,2.650900000095362
g,g,1.5172999999524563,1.6337999999523163
n,n,1.517400000095222,1.9671999999284253
t,t,1.5173999999763055,4.018100000023878
c,c,1.5172000000475236,1.60060000002386
v,v,1.5173999999763055,1.6836999999284217
k,k,1.517400000095222,1.6338999999761654
y,y,1.5172999999524563,1.6504999999999654
q,q,1.517399999976078,3.017800000071702
m,m,1.5171999999283798,2.300800000071604
o,o,1.517299999952229,2.5176000000237764
r,r,1.5171000000239019,3.751500000000078
b,b,1.5171999999283798,2.7844000000952747
z,z,1.517099999904758,2.817800000071429
x,x,1.5171000000239019,2.8342999999522362
j,j,1.5173999999763055,116.67670000004773
s,s,1.5171999999283798,1.533700000047702
h,h,1.517299999952229,1.6339000000955366
w,w,1.517299999952229,1.9673999999761236
u,u,1.5007000000478001,1.5171999999283798
d,d,1.5171000000239019,1.6173000000715092
a,a,1.517299999952229,1.9838999999763018
l,l,1.5173000000713728,2.6841999999285235
e,e,1.517399999976078,2.3675000000000637
m,m,1.5173000000716002,4.618399999976191
x,x,1.5171000000236745,1.6172999999523654
l,l,1.517200000047751,2.017399999976078
z,z,1.517200000047751,1.7338999999760745
t,t,1.5175000000001546,1.5838999999759835
s,s,1.5171000000239019,1.60060000002386
c,c,1.5171999999283798,1.583899999976211
b,b,1.5174000000954493,2.183999999999969
k,k,1.517299999952229,1.583899999976211
g,g,1.5003999999762527,1.5174999999999272
i,i,1.5171000000239019,1.8841000000238637
w,w,1.5171000000236745,53.46979999995233
r,r,1.5173000000716002,1.7171999999284253
a,a,1.5007000000478001,2.0174999999999272
q,q,1.5171999999283798,1.9507000000478456
p,p,1.5171000000236745,13.971899999976358
n,n,1.517299999952229,1.633700000047611
f,f,1.5173999999763055,3.0011000000238255
v,v,1.517299999952229,2.0339000000954
u,u,1.517399999976078,1.8506999999285654
d,d,1.517200000047751,17.02289999997606
y,y,1.517399999976078,2.550900000095453
o,o,1.5171999999283798,1.7005000000001473
e,e,1.5173000000713728,1.5005999999048072
h,h,1.5171000000236745,9.770399999976235
j,j,1.5040000000001328,1.564200000047549
