nlLet,letter,readingTime,checkingTime
k,k,1.5166999999880773,3.2703000000119573
f,f,1.5270999999642072,9.869199999988155
u,u,1.53060000002381,3.30239999997616
x,x,1.5279000000357428,2.2910000000000537
n,n,1.5250999999641408,2.0339000000358283
h,h,1.5218000000119218,3.4147999999522654
z,z,1.5187000000477155,5.09909999996421
c,c,1.5148000000119737,1.8500000000000227
g,g,1.5268000000119173,2.3218000000118764
d,d,1.5271999999880563,4.003599999964308
y,y,1.5243000000118627,1.6671000000238791
v,v,1.5403999999761027,3.1431999999881555
o,o,1.5459000000356582,2.2840000000001055
s,s,1.5130999999641972,2.359200000047622
b,b,1.5166999999880773,6.426099999964322
e,e,1.5294999999999845,1.8759000000356991
t,t,1.5276999999881582,2.9651000000237673
a,a,1.5108999999762318,3.499600000023861
r,r,1.513399999976059,2.68930000001194
l,l,1.5194999999999936,2.9541999999880773
j,j,1.5191999999881318,3.772600000023772
m,m,1.52980000001196,2.4769999999999754
i,i,1.5220000000000482,2.110599999964279
w,w,1.5161000000238118,9.504999999999995
q,q,1.5209999999999582,3.683199999988119
p,p,1.5066999999880863,2.4610000000000127
