nlLet,letter,readingTime,checkingTime
r,r,1.5167000007629383,2.1935000000000002
d,d,1.5290999984741092,7.484100000381474
y,y,1.5313999996185288,5.165999999999997
p,p,1.5166000003814872,3.6328999996185303
e,e,1.517100000381447,7.564899999618547
f,f,1.516900001525869,3.6825999984741316
u,u,1.5166000003814588,5.165999999999997
t,t,1.5156000003814825,2.020799999237056
s,s,1.5133000011444153,8.881
a,a,1.5180000000000007,6.032499999999999
v,v,1.515600000381454,4.9495999984741275
x,x,1.5164000015258807,2.2168999996185335
b,b,1.5165000000000077,2.818899999618509
m,m,1.5308999996185548,4.149300001144411
h,h,1.516999999999996,3.932099998474115
w,w,1.5166000003814588,1.7666000003814872
k,k,1.5157999992370605,4.132800001144403
j,j,1.5178999996185212,1.5151000003814659
q,q,1.5171000003814754,1.831799999237063
n,n,1.516999999999996,2.3667999992370596
z,z,1.5162000007629501,2.933899999618518
i,i,1.51589999961854,1.5161000003814706
g,g,1.517499999999984,2.9323999996185535
l,l,1.517300001144406,2.1326999988555713
c,c,1.5161000003814706,3.0333000011444256
o,o,1.5161999988555976,4.107700000762918
v,v,1.5135000000000218,1.5201999988555883
f,f,1.511800001144394,1.6886999988555829
z,z,1.5128000011444271,2.3016000003814554
p,p,1.5130999984741322,1.7485000000000355
r,r,1.5188000011444274,3.4526000003814374
n,n,1.5130000000000337,1.6971999988555808
g,g,1.5184999999999604,3.038399999618548
e,e,1.510600000381487,1.63149999999996
o,o,1.5190000000000055,2.319600000381513
x,x,1.513899999618502,2.035100000381476
m,m,1.513799999237051,2.902500000000032
l,l,1.5128000011443987,1.8376999988555554
q,q,1.5132000007629358,3.6860000000000355
t,t,1.5127999992370746,2.186700000762926
s,s,1.5126000003814397,4.302399999618558
j,j,1.5131000003814847,3.208199998855548
y,y,1.5056000003814916,1.9068999996185312
k,k,1.5124999999999886,2.1546000003814925
h,h,1.5122000007629026,2.4211000003815
b,b,1.5106999988555572,1.986700000762994
u,u,1.5111000003814183,2.232699998855594
w,w,1.517399999618533,1.6049000015258912
a,a,1.5131999988556117,3.503800001144384
i,i,1.5083999996185185,3.4593999996185403
d,d,1.510600000381487,4.7205000000000155
c,c,1.5121000003814515,3.086299999237042
g,g,1.5127000007629476,4.370699998855571
t,t,1.5118000011444224,2.805599998474122
n,n,1.5115000000000123,1.596600000381443
z,z,1.517600000381492,2.055299999237093
s,s,1.5127000007628908,2.5190000000000055
l,l,1.5131000003814847,4.486899999618515
d,d,1.5131000003814847,2.9877999992370405
r,r,1.5125000000000455,2.385700000762938
h,h,1.5143999996184903,1.6193999996185653
v,v,1.510300001144401,1.565999999999974
f,f,1.51779999923707,4.856600000381491
x,x,1.5108999996185162,3.4182000007629654
w,w,1.5140999984740802,6.618700000762942
m,m,1.5144999999999982,21.93339999961853
k,k,1.514399999618547,3.1335000000000264
o,o,1.5148000011444083,3.2026999988555644
j,j,1.510700000762938,5.2726000003814875
a,a,1.510399999618528,4.6056000003814574
p,p,1.5118999996185494,1.7144999999999868
b,b,1.5192999992370346,2.552700000762968
c,c,1.5166000003814588,1.5841999988555813
q,q,1.5074000015258662,2.157199998855617
i,i,1.5135000000000218,1.7798000011443946
y,y,1.5193999996185426,1.8194999999999482
e,e,1.5131999988556117,2.2208000011444256
u,u,1.5096000003814538,1.9905999984741243
n,n,1.5113000011444342,1.83269999885556
q,q,1.517400001525914,3.4352999992370314
b,b,1.514200000762969,2.91939999961852
z,z,1.510799999237065,2.822700000762893
p,p,1.5112999992371101,2.520700000762929
m,m,1.513799999237051,1.9222000007629276
c,c,1.5111000003814752,2.601199998855577
t,t,1.5143999996184903,2.070900001525956
v,v,1.5116999988555335,1.7808000011444847
l,l,1.5190999984740756,1.53480000114439
w,w,1.514600000381506,1.780699998855539
o,o,1.5173000011444628,2.0710999984740965
d,d,1.511200000762983,3.205100000381435
r,r,1.5158999996185685,2.1957999992370105
s,s,1.5194999999999936,1.521200000762974
k,k,1.5087000007629285,2.1726999988555917
y,y,1.5122000007629595,1.9873999996185603
i,i,1.5106000003813733,2.0983999996185503
j,j,1.517200000762955,2.770999999999958
x,x,1.5123999996185375,1.532100000381547
g,g,1.5176999988555053,1.7383999996185366
e,e,1.5125000000000455,2.98590000152592
a,a,1.5124999999999318,2.3865999984741393
h,h,1.514400001525928,2.3859999999999673
u,u,1.513399999618514,5.635899999618573
f,f,1.51299999999992,4.170200000762975
x,x,1.5115999984741393,2.50649999999996
r,r,1.5087000007629285,3.920799999237147
d,d,1.5139000015258262,1.5465000000000373
k,k,1.5202999992370678,3.5017000007628667
a,a,1.514299999237096,1.7376000003814625
g,g,1.5113999996185612,2.8692999992370005
l,l,1.5128000011444556,4.121600000381477
z,z,1.5116999988555335,2.30630000114445
i,i,1.506799999237046,4.1231000003814415
p,p,1.510299999237077,2.7583999996185185
c,c,1.5221000003815561,2.148800001144309
s,s,1.517099998474123,2.3662000007630013
m,m,1.5166000003814588,2.065699998855621
h,h,1.516900001525869,2.799299999237064
n,n,1.5022999992370387,2.2978000011444237
e,e,1.516799999237037,2.0498999996185603
y,y,1.5152000007628885,1.8866000003814634
w,w,1.5308999996185548,2.0322000007629413
t,t,1.517699998855619,1.9491000003814634
q,q,1.5167000007629667,1.9328999996184848
u,u,1.5154999999999745,3.1166000003814815
j,j,1.517799999237127,2.1819999999999027
o,o,1.5170000000000528,2.38250000000005
v,v,1.5177000007628294,2.948500000000081
b,b,1.5162999992370487,2.7831000003814097
f,f,1.5167999992371506,10.415200000762866
v,v,1.516799999237037,2.2168000011444065
q,q,1.5160999984741466,1.7836000003815116
t,t,1.5156000003814825,1.9157999992370378
a,a,1.517400001525857,1.5496999988556581
i,i,1.516999999999939,1.96580000114443
u,u,1.517299999237025,2.083100000381478
o,o,1.5157999992370605,2.2663000011444865
f,f,1.517599998474111,1.9991000003814179
g,g,1.5162000007629786,3.149399999618481
j,j,1.5163999996185566,1.9001000003814852
x,x,1.5168999996185448,1.7323999996184511
m,m,1.5165000000000646,1.9507000007629358
l,l,1.5157999992370605,2.3001000003814625
y,y,1.5164999999999509,1.982600000381467
b,b,1.5170000000000528,1.6822999992369887
n,n,1.5174000015259708,2.0993999996185266
z,z,1.5168999996185448,3.4001000003813715
s,s,1.5147999992370842,3.0170000000000528
k,k,1.517100000381447,2.082200000762896
c,c,1.5165999984741347,2.3170000000000073
h,h,1.5157000007629904,1.867200000762864
