nlWrd,test,testResp,score,word,readingTime,checkingTime,tested,writingTime
kaal,0.0,,False,kaal,3.853700000047681,0.8902000000476846,0,
diep,0.0,,False,diep,5.798299999952313,0.5805000000000007,0,
vorm,0.0,,False,vorm,28.447699999809274,1.132800000190727,0,
sufferd,0.0,,False,sufferd,3.6802000000476767,0.9299000000953725,0,
driemaal,0.0,,False,driemaal,3.579299999952312,0.8332999999523167,0,
jaar,0.0,,False,jaar,3.997400000095368,1.6807000000476933,0,
graaf,0.0,,False,graaf,4.629099999904639,1.1812000000476814,0,
hechten,0.0,,False,hechten,3.6472000000476896,0.7478999998569407,0,
woede,0.0,,False,woede,3.7800999999046354,0.7307000000476762,0,
snoep,0.0,,False,snoep,3.845800000190735,0.6820999999046364,0,
lukken,0.0,,False,lukken,3.7132999999523264,0.6984000000953614,0,
redding,0.0,,False,redding,3.6301000001430594,0.6980999999046276,0,
loyaal,0.0,,False,loyaal,3.8459000000953694,0.7313999998569471,0,
vlek,0.0,,False,vlek,3.928599999904634,1.0649000000953635,0,
taal,0.0,,False,taal,3.8147000000476936,0.6463999998569392,0,
blijven,0.0,,False,blijven,3.7642999999523,0.6465999999046232,0,
akkoord,0.0,,False,akkoord,4.045999999999992,1.0054000000953636,0,
knielen,0.0,,False,knielen,3.9133999998569493,0.7315000000000111,0,
geit,0.0,,False,geit,7.278500000000008,0.6829999999999927,0,
beseffen,0.0,,False,beseffen,4.912799999952313,0.6974000000953708,0,
uien,0.0,,False,uien,3.763100000143055,0.614599999904641,0,
vreten,0.0,,False,vreten,5.0120000000000005,0.48060000014305615,0,
eenhoorn,0.0,,False,eenhoorn,3.7792999999523147,0.5825000000000102,0,
hier,0.0,,False,hier,4.961999999999989,0.4989999999999952,0,
vullen,0.0,,False,vullen,3.6293999998569575,0.9486000001430455,0,
klimmen,0.0,,False,klimmen,5.879299999952309,0.5815000000000055,0,
traag,0.0,,False,traag,4.061900000095363,0.8317000000477037,0,
klauw,0.0,,False,klauw,4.828299999952321,0.6147999999523108,0,
oprotten,0.0,,False,oprotten,3.579700000047694,0.6313999998569386,0,
strekken,0.0,,False,strekken,3.862399999856933,0.5812999999523072,0,
prikken,0.0,,False,prikken,3.695899999856948,0.5644000000953611,0,
afnemen,0.0,,False,afnemen,4.39709999990464,0.6800000000000068,0,
bisschop,0.0,,False,bisschop,4.029700000047683,0.7169999999999845,0,
wegen,1.0,wegen,True,wegen,,0.9336999998092494,1,13.727000000000004
techniek,0.0,,False,techniek,4.512799999952307,1.3651000001430589,0,
getuigen,0.0,,False,getuigen,3.5969000000953315,0.7977000000477119,0,
mand,0.0,,False,mand,3.679399999856969,0.8145000000000095,0,
soda,0.0,,False,soda,3.5807000000476705,0.7970000000000255,0,
strikken,0.0,,False,strikken,3.8129000000953965,0.7480999999046389,0,
hiervan,0.0,,False,hiervan,4.895500000000027,0.7877000000476642,0,
voorraad,1.0,...rraa.,False,voorraad,,2.8334000000953665,1,31.10949999999997
heengaan,0.0,,False,heengaan,3.9297999999523086,0.9134000000953506,0,
steel,0.0,,False,steel,3.795299999952306,1.2480000000000473,0,
feestdag,0.0,,False,feestdag,3.7461000001430307,1.0345999999046285,0,
parel,1.0,varel,False,parel,,1.231999999999971,1,11.512699999809286
geluid,0.0,,False,geluid,3.8106999998092874,0.697800000190739,0,
boeien,0.0,,False,boeien,4.163100000143061,1.031499999999994,0,
schuilen,0.0,,False,schuilen,5.345899999856954,0.5977000000476664,0,
maken,0.0,,False,maken,3.796299999952282,0.8817000000477151,0,
opzicht,0.0,,False,opzicht,4.262200000047642,0.7811999998093029,0,
snuiven,0.0,,False,snuiven,4.478400000095348,0.8981999998092647,0,
volop,0.0,,False,volop,3.8632999999522895,0.9986000001430853,0,
maaltijd,0.0,,False,maaltijd,3.7625000000000455,0.7039999999999509,0,
wijlen,1.0,.i.len,False,wijlen,,1.7828000001907753,1,22.24409999990462
gerucht,0.0,,False,gerucht,5.260400000095387,0.8150999999045894,0,
goedkoop,0.0,,False,goedkoop,3.7135000000000105,0.7372999999523131,0,
dans,1.0,.an. ,False,dans,,21.07249999999999,1,19.528299999952367
zingen,1.0,dingen,False,zingen,,4.635299999952338,1,14.345200000047669
leuk,1.0,link,False,leuk,,1.9659000000954165,1,13.677799999952299
bleek,0.0,,False,bleek,3.713299999952369,0.6014999999999873,0,
plek,1.0,olek,False,plek,,1.8672999999522517,1,8.344900000095379
stemming,0.0,,False,stemming,3.8099000000954675,0.6697000000476692,0,
maling,1.0,,False,maling,,0.7992000000476764,1,3.8962000000476564
schat,0.0,,False,schat,3.8125999999047053,0.6974000000952856,0,
mening,0.0,,False,mening,3.711999999999989,0.84800000000007,0,
aanzien,0.0,,False,aanzien,3.9291000001430803,0.6815999999046198,0,
kennis,0.0,,False,kennis,4.645299999952385,0.698299999952269,0,
toegeven,0.0,,False,toegeven,3.5799000000953356,0.647599999904628,0,
toeval,0.0,,False,toeval,5.280800000190766,0.5480000000000018,0,
waarbij,0.0,,False,waarbij,5.8799999999999955,0.531199999809246,0,
muziek,0.0,,False,muziek,3.712799999952381,0.646600000143053,0,
jasje,0.0,,False,jasje,4.296500000000037,0.5479000000954102,0,
kleren,0.0,,False,kleren,3.544700000047669,0.6480999999046162,0,
strak,0.0,,False,strak,3.696599999904606,0.6644999999999754,0,
lust,0.0,,False,lust,5.462799999952381,0.5812000000476019,0,
vinger,0.0,,False,vinger,5.312799999952404,0.48299999999994725,0,
schaamte,0.0,,False,schaamte,4.646000000000072,0.5300999999045644,0,
totaal,0.0,,False,totaal,5.89650000000006,0.5483999998568834,0,
nakijken,0.0,,False,nakijken,3.978899999856935,0.6484000000953074,0,
stiekem,0.0,,False,stiekem,3.879799999952297,0.5977999999523718,0,
bijkomen,0.0,,False,bijkomen,4.046000000000049,0.6489000000952956,0,
site,0.0,,False,site,3.829199999809248,0.5989000000953411,0,
flirt,0.0,,False,flirt,3.76240000009534,0.9808999998570016,0,
verhaal,0.0,,False,verhaal,3.996200000047679,0.7148999998569252,0,
palm,0.0,,False,palm,3.6129999999999427,0.5475000000000136,0,
seizoen,0.0,,False,seizoen,3.6282999999523327,0.5310999999045407,0,
aanraden,0.0,,False,aanraden,4.86259999990466,0.8652000000475937,0,
stal,0.0,,False,stal,3.6281000001430357,0.5822000000476919,0,
leren,0.0,,False,leren,3.5621000001430048,0.6812999999523299,0,
waken,0.0,,False,waken,4.412599999904614,0.698299999952269,0,
openbaar,0.0,,False,openbaar,3.61389999985704,0.4637000000476519,0,
praat,0.0,,False,praat,3.811099999904627,0.5474000000953083,0,
grappen,0.0,,False,grappen,3.6284000000953256,0.5827000000476801,0,
kasteel,0.0,,False,kasteel,3.914100000143094,0.4968999998569643,0,
tekst,0.0,,False,tekst,3.6618000001907376,0.6477999999523263,0,
uitdelen,0.0,,False,uitdelen,4.745200000047703,0.6312000000476701,0,
waarop,0.0,,False,waarop,3.712799999952267,0.6312000000477838,0,
steek,0.0,,False,steek,4.2289000000953365,0.44849999999996726,0,
dubbel,0.0,,False,dubbel,4.129000000000019,0.5308999998569561,0,
stoom,0.0,,False,stoom,3.6130000000000564,0.5304000000952556,0,
groen,0.0,,False,groen,3.796599999904629,0.4980000000000473,0,
knaap,0.0,,False,knaap,4.2290999999046335,0.6492999999522908,0,
weeshuis,0.0,,False,weeshuis,4.180399999856945,0.5982999999523599,0,
gedicht,0.0,,False,gedicht,7.06190000009542,0.7152999999523217,0,
kreeft,0.0,,False,kreeft,5.746099999904686,0.6147000000477192,0,
uitlaat,0.0,,False,uitlaat,3.9117999999523363,1.1992999999522453,0,
mist,0.0,,False,mist,4.263900000095305,0.5805999999046207,0,
wagon,0.0,,False,wagon,5.945500000000038,0.5478999998568952,0,
daarheen,0.0,,False,daarheen,7.078200000047673,0.5814000000954138,0,
opheffen,0.0,,False,opheffen,3.69529999995234,0.58170000004759,0,
knie,0.0,,False,knie,5.896699999809243,0.9649000000953265,0,
woestijn,0.0,,False,woestijn,5.21390000009535,0.5821999998092906,0,
leek,0.0,,False,leek,3.9099000000953765,0.7327999999523627,0,
oceaan,0.0,,False,oceaan,5.431200000047738,0.6485999999046044,0,
ticket,0.0,,False,ticket,3.6124999999999545,0.5802999999523308,0,
smullen,0.0,,False,smullen,3.7941999998092797,0.516200000047661,0,
koppen,0.0,,False,koppen,3.8976000001430293,0.48159999990457436,0,
liefje,0.0,,False,liefje,3.678600000143092,0.5804999999999154,0,
nodig,0.0,,False,nodig,4.661900000095443,1.081099999904609,0,
kust,0.0,,False,kust,5.245600000143099,1.165099999904669,0,
woning,0.0,,False,woning,8.428099999904589,0.6150000000000091,0,
geld,0.0,,False,geld,4.212599999904683,0.6489000000954093,0,
geliefd,0.0,,False,geliefd,3.779700000047683,0.6002999999523126,0,
mode,0.0,,False,mode,3.6638999998569943,0.6643000001906785,0,
innemen,0.0,,False,innemen,6.094799999952329,0.6867000000476082,0,
mijnheer,1.0,,False,mijnheer,,0.9813000001906858,1,3.9466999998093115
gegeven,0.0,,False,gegeven,4.011000000000081,0.5489999999999782,0,
bedoelen,0.0,,False,bedoelen,6.6115999999046835,0.5987999999522344,0,
bever,0.0,,False,bever,4.57779999995239,0.5979999999999563,0,
ijdel,0.0,,False,ijdel,3.928799999952389,0.6319999999999482,0,
koffie,0.0,,False,koffie,5.012799999952335,0.7149000000953265,0,
flits,0.0,,False,flits,3.730000000000018,0.7861000001430511,0,
opkomen,1.0,omkopen,False,opkomen,,4.715199999809329,1,43.426300000190736
stof,0.0,,False,stof,4.232199999809268,0.6128000001907594,0,
attentie,0.0,,False,attentie,5.480799999952296,0.6967999999523045,0,
blik,0.0,,False,blik,3.57650000000001,0.6651000001430702,0,
joggen,0.0,,False,joggen,4.4799999999999045,0.59800000000007,0,
poes,0.0,,False,poes,4.794799999952261,0.5315000000000509,0,
weigeren,0.0,,False,weigeren,4.428700000047684,0.5816999998093024,0,
gebit,0.0,,False,gebit,4.045299999952249,0.6653000001907685,0,
laag,0.0,,False,laag,5.547400000095422,0.7959999999999354,0,
keihard,0.0,,False,keihard,4.695800000190729,0.6643999998569825,0,
jagen,0.0,,False,jagen,3.7295999999046217,0.6313000001907767,0,
baai,0.0,,False,baai,3.8617000000476764,2.3982999999523145,0,
spanning,0.0,,False,spanning,3.695899999857147,0.5816000001429984,0,
