nlLet,letter,readingTime,checkingTime
l,l,1.51639999997616,2.19289999997616
z,z,1.51710000002384,2.41660000002385
u,u,1.51669999992847,2.08260000002385
y,y,1.5175,1.89980000007152
k,k,1.51679999995232,1.73360000002384
x,x,1.51729999995231,2.383
s,s,1.51610000002384,1.55339999997616
h,h,1.51350000000001,4.38449999999999
t,t,1.51589999997617,2.09980000007153
g,g,1.5,1.90060000002384
r,r,1.51629999995231,2.28760000002384
d,d,1.52939999997616,2.94860000002383
j,j,1.51819999992848,2.15660000002384
q,q,1.50989999997616,1.783
b,b,1.51680000007153,1.69910000002383
m,m,1.50139999997616,1.95629999995232
v,v,1.52680000007152,2.41779999995232
w,w,1.51570000004769,2.889
i,i,1.51109999990463,1.789
f,f,1.52710000002384,2.61800000000001
p,p,1.51560000002384,2.98979999995231
e,e,1.52720000004769,1.75420000004769
a,a,1.52889999997616,2.20099999999999
c,c,1.51589999997616,3.75079999995233
n,n,1.51620000004766,1.59239999997618
o,o,1.52339999997614,2.11310000002385
