nlWrd,test,testResp,score,word,readingTime,checkingTime,tested,writingTime,attempts
moes,0,,0,moes,3.96170000076294,0.955400001525881,0,NaN,
geld,0,,0,geld,2.77690000152587,0.537899997711186,0,NaN,
baas,0,,0,baas,2.61270000076294,0.397099998474118,0,NaN,
maling,0,,0,maling,6.18870000076294,0.648200000762941,0,NaN,
kleren,0,,0,kleren,4.954,0.406699996948241,0,NaN,
techniek,0,,0,techniek,8.52379999923706,0.42110000228881,0,NaN,
blik,0,,0,blik,2.63729999923706,1.18420000076294,0,NaN,
bleek,0,,0,bleek,3.84730000305176,0.677899997711179,0,NaN,
lust,0,,0,lust,3.13250000000001,0.48159999847411,0,NaN,
slak,0,,0,slak,6.01970000076294,0.698600002288813,0,NaN,
driemaal,0,,0,driemaal,4.8185,0.881200000762931,0,NaN,
loyaal,0,,0,loyaal,3.1215,0.478599998474124,0,NaN,
prikken,0,,0,prikken,4.94720000076295,0.562799999237058,0,NaN,
anarchie,0,,0,anarchie,6.57419999694825,0.820499999999996,0,NaN,
gegeven,0,,0,gegeven,3.52809999847412,0.448100002288811,0,NaN,
opheffen,0,,0,opheffen,2.79050000000001,0.638700000762938,0,NaN,
bijkomen,1,bijkomen,1,bijkomen,NaN,0.770499999999998,1,7.99310000228881,
waarop,0,,0,waarop,3.89029999923704,0.863200000762959,0,NaN,
oprotten,0,,0,oprotten,4.23420000076294,0.467299999237071,0,NaN,
bedoelen,0,,0,bedoelen,4.35989999771118,0.715799999237049,0,NaN,
afval,0,,0,afval,5.13260000228883,0.428299999237055,0,NaN,
weigeren,0,,0,weigeren,4.35009999847412,0.476799999237073,0,NaN,
geit,0,,0,geit,4.98929999923706,0.762799999237075,0,NaN,
totaal,0,,0,totaal,3.06199999999998,0.742999999999995,0,NaN,
leuk,0,,0,leuk,3.86199999999999,0.751499999999993,0,NaN,
middelen,0,,0,middelen,3.99360000228882,1.17809999847412,0,NaN,
steel,0,,0,steel,3.38129999923706,0.528200000762951,0,NaN,
geliefd,0,,0,geliefd,3.27209999847412,0.795799999237062,0,NaN,
waarvan,0,,0,waarvan,4.88040000152586,0.587399997711202,0,NaN,
waarbij,0,,0,waarbij,6.79420000076294,0.704100002288811,0,NaN,
aanraden,0,,0,aanraden,5.99349999999998,0.657500000000027,0,NaN,
ziek,0,,0,ziek,2.86780000305177,0.584899997711176,0,NaN,
lukken,0,,0,lukken,2.87970000076294,0.968799999237064,0,NaN,
zout,1,zout,1,zout,NaN,0.594800003051773,1,3.79319999694823,
muziek,0,,0,muziek,3.67099999999999,0.483099998474131,0,NaN,
vervoer,0,,0,vervoer,6.33009999847411,0.754100002288823,0,NaN,
woning,0,,0,woning,2.93479999923707,0.712800003051768,0,NaN,
aandelen,0,,0,aandelen,4.28079999923705,0.708299999237056,0,NaN,
staren,1,staren,1,staren,NaN,0.541500000000013,1,4.39079999923706,
schatten,0,,0,schatten,4.357,0.589399997711183,0,NaN,
lokken,0,,0,lokken,3.23039999771123,0.509600002288778,0,NaN,
heengaan,0,,0,heengaan,3.7971000022888,1.50789999771121,0,NaN,
kust,0,,0,kust,5.47800000000001,0.495000000000005,0,NaN,
soda,0,,0,soda,5.85820000076291,0.489699996948275,0,NaN,
taal,0,,0,taal,2.91250000000002,0.408200000762918,0,NaN,
lever,0,,0,lever,2.67779999923704,0.59429999923708,0,NaN,
nodig,0,,0,nodig,3.52199999999999,0.408299999237045,0,NaN,
openbaar,1,openbaar,1,openbaar,NaN,0.968600002288838,1,8.32139999771118,
grappen,0,,0,grappen,3.68529999923709,0.642299999237082,0,NaN,
feestdag,0,,0,feestdag,6.66369999694825,0.504999999999995,0,NaN,
laken,0,,0,laken,2.9205,0.415700000762968,0,NaN,
knie,0,,0,knie,5.24639999771119,0.473200000762915,0,NaN,
liefje,0,,0,liefje,2.76779999923707,0.45799999999997,0,NaN,
palm,0,,0,palm,2.93559999847412,0.413100002288843,0,NaN,
zaal,0,,0,zaal,2.93049999999999,0.384500000000003,0,NaN,
opzicht,0,,0,opzicht,4.57750000000004,0.432700000762907,0,NaN,
mijn,0,,0,mijn,6.79160000228882,0.542299999237059,0,NaN,
slagen,0,,0,slagen,3.56370000076294,0.400400001525895,0,NaN,
mening,0,,0,mening,4.87270000076296,0.653700000762967,0,NaN,
jaar,0,,0,jaar,2.98149999999998,0.389999999999986,0,NaN,
schat,0,,0,schat,2.93679999923705,0.436100002288811,0,NaN,
opkomen,0,,0,opkomen,3.41789999771123,0.419200000762942,0,NaN,
uitlaat,0,,0,uitlaat,5.14790000152584,0.520799999237056,0,NaN,
daarheen,0,,0,daarheen,4.08269999694824,0.519300003051796,0,NaN,
stiekem,0,,0,stiekem,3.09040000152589,0.677200000762923,0,NaN,
joggen,1,joggen,1,joggen,NaN,0.769200000762964,1,3.96409999847413,
snoep,0,,0,snoep,3.06429999923705,0.510099998474118,0,NaN,
leren,0,,0,leren,2.78650000000005,0.44979999923703,0,NaN,
kasteel,0,,0,kasteel,7.93450000000001,1.21010000228881,0,NaN,
gezond,0,,0,gezond,5.51779999923707,0.484499999999969,0,NaN,
wagon,0,,0,wagon,3.26429999923704,0.530299999237059,0,NaN,
zweven,0,,0,zweven,9.69809999847411,0.591999999999985,0,NaN,
redding,0,,0,redding,5.5444000015259,0.472499999999968,0,NaN,
strekken,0,,0,strekken,6.45599999999996,0.492799999237093,0,NaN,
vlek,0,,0,vlek,3.9120999984741,0.631500000000017,0,NaN,
goedkoop,0,,0,goedkoop,5.5795,0.822999999999979,0,NaN,
dans,0,,0,dans,4.40250000000003,0.435000000000002,0,NaN,
besmet,0,,0,besmet,6.37420000076293,1.15300000000002,0,NaN,
getuigen,1,getuigen,1,getuigen,NaN,0.930400001525925,1,14.3270999984741,
bisschop,0,,0,bisschop,6.85339999771116,0.495499999999993,0,NaN,
baai,0,,0,baai,9.38409999847414,0.404400001525858,0,NaN,
aarzelen,0,,0,aarzelen,6.10399999999998,0.468099998474088,0,NaN,
kabel,0,,0,kabel,3.24720000076286,0.395299999237068,0,NaN,
traag,0,,0,traag,3.06419999694822,0.687999999999988,0,NaN,
legaal,1,legaal,1,legaal,NaN,0.546300003051783,1,3.69009999847412,
gedicht,0,,0,gedicht,4.81859999847416,0.563999999999965,0,NaN,
komisch,0,,0,komisch,14.1244000015259,1.23659999847405,0,NaN,
verhaal,0,,0,verhaal,6.96120000076291,0.544799999237057,0,NaN,
toegeven,1,toegeven,1,toegeven,NaN,0.536299999237144,1,4.6107000007629,
stoom,0,,0,stoom,2.9940999984741,0.905400001525891,0,NaN,
stemming,0,,0,stemming,3.31440000152588,0.611599998474162,0,NaN,
groen,1,groen,1,groen,NaN,0.609799999236998,1,4.16700000000003,
eenhoorn,0,,0,eenhoorn,9.00699999999995,0.539799999237061,0,NaN,
schuilen,0,,0,schuilen,6.02600000000007,0.440900001525847,0,NaN,
invloed,0,,0,invloed,4.65020000076288,0.458299999237056,0,NaN,
hiervan,0,,0,hiervan,4.99689999771124,0.421500000000037,0,NaN,
piste,0,,0,piste,4.21569999694816,0.398400001525943,0,NaN,
uitdelen,0,,0,uitdelen,6.563200000763,0.411899997711203,0,NaN,
kennis,0,,0,kennis,2.64379999923699,1.2062999992371,0,NaN,
praat,0,,0,praat,3.24270000076297,0.479299999237014,0,NaN,
seizoen,0,,0,seizoen,3.70109999847409,0.493700000762942,0,NaN,
koppen,0,,0,koppen,7.95859999847414,0.609500000000025,0,NaN,
jagen,0,,0,jagen,3.33339999771124,0.433900001525899,0,NaN,
hier,0,,0,hier,2.89519999694824,0.448600002288799,0,NaN,
geduld,1,geduld,1,geduld,NaN,0.557500000000005,1,4.65229999923702,
schep,0,,0,schep,3.15090000152588,0.406299999237035,0,NaN,
jurk,0,,0,jurk,4.40980000305183,0.446899997711171,0,NaN,
vinger,0,,0,vinger,6.15439999771115,1.4391000022888,0,NaN,
smullen,0,,0,smullen,3.94070000076294,1.29390000152591,0,NaN,
bloeien,0,,0,bloeien,2.8564000015258,0.416700000762944,0,NaN,
koffie,0,,0,koffie,3.59570000076292,0.845000000000027,0,NaN,
oceaan,0,,0,oceaan,16.2451000022887,3.00979999923709,0,NaN,
klimmen,0,,0,klimmen,9.44749999999999,0.692999999999984,0,NaN,
hechten,1,hechten,1,hechten,NaN,2.04949999999997,1,6.45070000076294,
aflopen,0,,0,aflopen,4.96789999771113,0.517000000000053,0,NaN,
apparaat,0,,0,apparaat,4.64819999694828,0.569499999999948,0,NaN,
knaap,1,knaap,1,knaap,NaN,0.485200000762916,1,4.05070000076296,
snuiven,1,snuiven,1,snuiven,NaN,0.57070000076294,1,14.707700000763,
knielen,1,knielen,1,knielen,NaN,0.602499999999964,1,4.52279999923701,
ticket,0,,0,ticket,12.0626999969483,0.597700000762984,0,NaN,
mode,0,,0,mode,3.11470000076292,0.317099998474191,0,NaN,
vullen,0,,0,vullen,5.26270000076295,0.497700000762961,0,NaN,
blijven,1,blijven,1,blijven,NaN,0.601999999999975,1,6.03779999923711,
stal,0,,0,stal,2.91710000228886,0.344699996948293,0,NaN,
rijp,0,,0,rijp,4.40379999923698,0.462599998474161,0,NaN,
uien,0,,0,uien,3.51639999771112,0.432900001525923,0,NaN,
woede,0,,0,woede,3.98450000000003,0.395099998474166,0,NaN,
beseffen,0,,0,beseffen,4.12139999771125,0.420900001525865,0,NaN,
maken,0,,0,maken,3.6197999992371,0.383900001525831,0,NaN,
woestijn,0,,0,woestijn,4.73540000152593,0.910299999237054,0,NaN,
heilig,0,,0,heilig,3.21179999923709,1.66829999923709,0,NaN,
zuster,0,,0,zuster,4.12569999694824,0.742800003051684,0,NaN,
wegen,0,,0,wegen,3.55359999847406,0.918300003051741,0,NaN,
gerucht,0,,0,gerucht,9.49579999923708,0.85520000076292,0,NaN,
kanjer,0,,0,kanjer,4.63159999847414,0.48670000076288,0,NaN,
maaltijd,0,,0,maaltijd,2.8217999992371,0.472499999999968,0,NaN,
boeien,0,,0,boeien,2.53620000076296,0.517700000762943,0,NaN,
attentie,0,,0,attentie,4.66609999847412,2.31220000076291,0,NaN,
eetlust,0,,0,eetlust,4.50249999999994,1.04390000152591,0,NaN,
poes,0,,0,poes,3.16879999923708,0.640800003051709,0,NaN,
parel,0,,0,parel,7.38619999694822,0.472900001525886,0,NaN,
rechten,0,,0,rechten,5.69929999923716,0.430599998474122,0,NaN,
jasje,1,jasje,1,jasje,NaN,0.553799999237071,1,7.04490000152589,
volop,0,,0,volop,3.44799999999998,0.337299999237075,0,NaN,
nakijken,0,,0,nakijken,6.16440000152579,0.443099998474167,0,NaN,
trekker,0,,0,trekker,3.85550000000001,0.855400001525823,0,NaN,
diep,0,,0,diep,4.36990000152582,0.416599998474112,0,NaN,
bever,0,,0,bever,3.12929999923699,1.45829999923706,0,NaN,
flits,0,,0,flits,4.99649999999997,0.604699996948284,0,NaN,
vreten,0,,0,vreten,4.29679999923701,0.679099998474157,0,NaN,
leek,0,,0,leek,3.14960000228882,0.43009999847402,0,NaN,
dubbel,0,,0,dubbel,3.73670000076288,0.408400001525933,0,NaN,
sufferd,0,,0,sufferd,3.42320000076302,0.481099998474065,0,NaN,
waken,0,,0,waken,4.02700000000004,0.441300003051765,0,NaN,
strak,0,,0,strak,2.83399999999995,0.512500000000045,0,NaN,
twijfel,0,,0,twijfel,5.78250000000003,0.660499999999956,0,NaN,
toeval,0,,0,toeval,2.67040000152588,0.468299999237047,0,NaN,
plek,0,,0,plek,3.52449999999999,37.188,0,NaN,
stof,1,stof,1,stof,NaN,11.0800000000002,1,3.59060000228874,
steek,0,,0,steek,4.24759999847402,1.72540000152594,0,NaN,
laag,0,,0,laag,2.7029000015259,0.804099998474157,0,NaN,
afnemen,0,,0,afnemen,7.68550000000005,16.0136999969484,0,NaN,
keihard,0,,0,keihard,10.45,4.10259999847403,0,NaN,
mand,0,,0,mand,3.59770000076287,0.592499999999973,0,NaN,
graaf,0,,0,graaf,3.04899999999998,0.62059999847429,0,NaN,
aanzien,0,,0,aanzien,4.0092999992371,0.668599998474065,0,NaN,
wijlen,0,,0,wijlen,3.83129999923699,0.56829999923707,0,NaN,
site,1,site,1,site,NaN,0.612599998474025,1,3.56629999923712,
ijdel,0,,0,ijdel,5.4298000030517,0.892399997711209,0,NaN,
vorm,0,,0,vorm,3.18170000076293,0.458599998474028,0,NaN,
excuus,0,,0,excuus,12.6022000007631,0.538000000000011,0,NaN,
strikken,0,,0,strikken,4.29549999999995,1.10560000228884,0,NaN,
kring,0,,0,kring,3.94219999694815,0.365999999999985,0,NaN,
zwart,0,,0,zwart,4.36489999771106,0.432200000763032,0,NaN,
aanzoek,0,,0,aanzoek,3.36890000152584,0.396799999237146,0,NaN,
klauw,0,,0,klauw,4.69800000000009,0.385900001525897,0,NaN,
kaal,0,,0,kaal,2.95280000305183,0.391399997711005,0,NaN,
voorraad,0,,0,voorraad,5.08520000076282,0.782299999237011,0,NaN,
kreeft,0,,0,kreeft,4.37909999847398,0.478200000763081,0,NaN,
opkijken,0,,0,opkijken,4.55579999923725,0.429900001525766,0,NaN,
zingen,0,,0,zingen,4.21929999923714,0.441799999236991,0,NaN,
slapen,0,,0,slapen,3.06270000076279,0.35419999694841,0,NaN,
weeshuis,0,,0,weeshuis,10.4901000022887,0.382499999999936,0,NaN,
spanning,0,,0,spanning,4.58650000000011,0.6724999999999,0,NaN,
mist,1,mist,1,mist,NaN,4.63089999771114,1,5.10310000228878,
innemen,0,,0,innemen,4.44110000228875,0.373000000000047,0,NaN,
akkoord,0,,0,akkoord,2.93059999847401,0.394500000000107,0,NaN,
schaamte,0,,0,schaamte,3.61720000076275,0.384599998474187,0,NaN,
blad,0,,0,blad,3.36400000000003,0.35340000152587,0,NaN,
vuur,0,,0,vuur,4.13120000076287,0.671400001525853,0,NaN,
tekst,0,,0,tekst,4.91730000305165,0.447899997711374,0,NaN,
geheim,0,,0,geheim,4.69190000152594,0.349799999237121,0,NaN,
flirt,1,flirt,1,flirt,NaN,0.731800003051831,1,5.43989999771111,
geluid,0,,0,geluid,2.69829999923718,0.397400001525739,0,NaN,
samen,0,,0,samen,6.1972000007629,0.547900001525932,0,NaN,
mijnheer,0,,0,mijnheer,6.53620000076285,0.440000000000055,0,NaN,
huisdier,0,,0,huisdier,6.26519999694824,0.416999999999916,0,NaN,
doodmoe,0,,0,doodmoe,3.82940000152576,0.38350000000014,0,NaN,
gebit,0,,0,gebit,2.90370000076291,0.66220000076305,0,NaN,
baron,0,,0,baron,4.32759999847417,1.06929999923705,0,NaN,
