nlWrd,test,testResp,score,word,readingTime,checkingTime,tested,writingTime,attempts
vuur,0,,0,vuur,6.25340000009537,0.427699999809263,0,NaN,
vorm,0,,0,vorm,7.06579999995232,0.428900000095368,0,NaN,
klauw,0,,0,klauw,8.3015,0.269400000095374,0,NaN,
legaal,1,legaal,1,legaal,NaN,4.51080000019074,1,5.96829999995231,
goedkoop,0,,0,goedkoop,8.09729999995231,4.10950000000001,0,NaN,
steek,0,,0,steek,5.83270000004768,3.91340000009536,0,NaN,
ticket,0,,0,ticket,7.39979999995231,0.490799999952316,0,NaN,
strikken,0,,0,strikken,8.18239999985694,0.375500000000017,0,NaN,
apparaat,0,,0,apparaat,7.56879999995232,0.445100000143043,0,NaN,
laag,0,,0,laag,3.81709999990463,0.427499999999981,0,NaN,
eetlust,0,,0,eetlust,9.03339999985695,0.4112000000477,0,NaN,
uitdelen,0,,0,uitdelen,9.86979999995233,0.444599999904625,0,NaN,
bedoelen,0,,0,bedoelen,19.3817000000477,0.611500000000007,0,NaN,
gezond,0,,0,gezond,5.29920000004768,0.492700000047677,0,NaN,
smullen,0,,0,smullen,11.6836000001431,0.315700000047684,0,NaN,
stof,1,stof,1,stof,NaN,3.43240000009536,1,12.9985999999046,
getuigen,1,getuigen,1,getuigen,NaN,0.59690000009536,1,20.1155999999046,
liefje,0,,0,liefje,7.45040000009539,1.54440000009535,0,NaN,
opkomen,0,,0,opkomen,7.48240000009534,1.24379999995227,0,NaN,
kring,0,,0,kring,9.92900000000003,1.01599999999996,0,NaN,
bloeien,0,,0,bloeien,7.90110000014306,1.09419999980923,0,NaN,
kennis,0,,0,kennis,6.61660000014302,0.911299999952348,0,NaN,
mand,0,,0,mand,10.651,1.00939999985695,0,NaN,
techniek,0,,0,techniek,16.6498000001907,0.625500000000045,0,NaN,
schat,0,,0,schat,7.34879999995235,0.611200000047688,0,NaN,
kasteel,0,,0,kasteel,5.13079999995233,0.628300000190734,0,NaN,
mening,0,,0,mening,22.7002000000477,0.544700000047669,0,NaN,
besmet,0,,0,besmet,9.63400000000001,5.84119999980925,0,NaN,
blik,0,,0,blik,4.84889999985694,0.907200000047681,0,NaN,
maaltijd,0,,0,maaltijd,7.769100000143,0.561000000000035,0,NaN,
blijven,1,blijven,1,blijven,NaN,0.512600000143038,1,7.56329999995233,
ziek,0,,0,ziek,6.71809999990467,0.677200000047662,0,NaN,
weigeren,0,,0,weigeren,9.03290000009537,0.628399999856981,0,NaN,
leuk,0,,0,leuk,6.14859999990466,0.578100000143024,0,NaN,
geit,0,,0,geit,10.1339000000954,0.644499999999994,0,NaN,
slagen,0,,0,slagen,9.76379999995231,0.448700000047666,0,NaN,
waarvan,0,,0,waarvan,7.7835,0.526799999952289,0,NaN,
zaal,0,,0,zaal,3.29990000009536,0.577799999952333,0,NaN,
grappen,0,,0,grappen,15.4660999999046,0.358000000000004,0,NaN,
schaamte,0,,0,schaamte,8.68070000004769,0.360799999952292,0,NaN,
leek,0,,0,leek,2.86820000004764,0.357799999952363,0,NaN,
leren,0,,0,leren,3.99739999985695,0.275600000143072,0,NaN,
loyaal,0,,0,loyaal,5.98280000019076,0.276499999999999,0,NaN,
kleren,0,,0,kleren,4.58480000019074,0.362299999952313,0,NaN,
gerucht,0,,0,gerucht,36.6629000000955,0.444200000047658,0,NaN,
parel,0,,0,parel,8.91530000019077,0.310500000000047,0,NaN,
vlek,0,,0,vlek,3.7787999999523,0.361100000143097,0,NaN,
moes,0,,0,moes,5.3365,0.310699999809231,0,NaN,
joggen,1,joggen,1,joggen,NaN,0.890900000095371,1,7.13279999995234,
sufferd,0,,0,sufferd,8.16549999999995,0.276799999952345,0,NaN,
schep,0,,0,schep,7.98209999990456,0.410800000190761,0,NaN,
vreten,0,,0,vreten,7.37949999999989,0.657799999952317,0,NaN,
zingen,0,,0,zingen,10.1151999998093,0.790600000143058,0,NaN,
slak,0,,0,slak,6.9810999999047,0.995600000142986,0,NaN,
kust,0,,0,kust,11.1318000001908,0.276000000000067,0,NaN,
waken,0,,0,waken,5.23219999980927,0.175600000143049,0,NaN,
rechten,0,,0,rechten,7.46749999999997,0.192800000190687,0,NaN,
taal,0,,0,taal,4.49989999985689,0.457600000143088,0,NaN,
poes,0,,0,poes,5.7502000000477,0.140900000095371,0,NaN,
wegen,0,,0,wegen,7.75130000019067,0.591499999999996,0,NaN,
uitlaat,0,,0,uitlaat,12.4165,0.823999999999955,0,NaN,
aflopen,0,,0,aflopen,11.7817000000476,0.958700000047656,0,NaN,
lust,0,,0,lust,6.79919999980928,0.759600000142996,0,NaN,
stemming,0,,0,stemming,8.06359999990457,0.943299999952387,0,NaN,
openbaar,1,openbaar,1,openbaar,NaN,0.827200000047696,1,15.1132000000476,
beseffen,0,,0,beseffen,16.4658000001907,1.26069999980928,0,NaN,
mist,1,mist,1,mist,NaN,0.813000000000102,1,7.28109999990454,
nakijken,0,,0,nakijken,34.5541000001431,0.484899999857021,0,NaN,
vervoer,0,,0,vervoer,49.683,1.44159999990472,0,NaN,
innemen,0,,0,innemen,17.849100000143,1.30939999985696,0,NaN,
boeien,0,,0,boeien,6.84629999995241,0.560800000190739,0,NaN,
zweven,0,,0,zweven,6.81429999995237,0.624400000095306,0,NaN,
geliefd,0,,0,geliefd,7.49459999990461,1.79499999999996,0,NaN,
kanjer,0,,0,kanjer,11.0314000000955,0.510799999952269,0,NaN,
