nlLet,letter,readingTime,checkingTime
e,e,1.52720000076294,4.2915999994278
j,j,1.51419999980927,3.87220000076294
n,n,1.5265,2.81359999942779
w,w,1.50860000038147,4.77239999961853
g,g,1.51130000019074,2.56539999961853
r,r,1.51049999999999,3.10830000019074
l,l,1.51790000057221,4.74619999980926
h,h,1.50989999961853,4.006
b,b,1.51660000038147,2.95339999961853
i,i,1.5124000005722,3.26219999980927
d,d,1.50880000019073,4.74319999980926
y,y,1.50830000019074,2.41609999942779
f,f,1.51100000000001,1.97980000019074
q,q,1.5145,2.61710000038147
m,m,1.51679999923707,4.00310000038147
z,z,1.52310000038146,3.5850999994278
k,k,1.52390000057221,3.76819999980927
x,x,1.52269999980926,2.93269999980927
o,o,1.50910000038147,2.74439999961851
p,p,1.51850000000002,2.08930000019072
c,c,1.51460000038148,2.84759999942781
a,a,1.52510000038146,2.43189999961854
s,s,1.52099999999999,1.99219999980926
t,t,1.51290000057222,2.59630000019072
u,u,1.52650000000003,2.18189999961851
v,v,1.52269999980928,1.70069999980927
