nlWrd,test,testResp,score,word,readingTime,checkingTime,tested,writingTime
hiervan,0.0,,False,hiervan,15.170599999994039,0.6245999999940324,0,
vuur,0.0,,False,vuur,3.7426999999880763,1.202200000017882,0,
woning,0.0,,False,woning,5.355499999999992,0.6437999999821216,0,
snuiven,0.0,,False,snuiven,5.088099999994043,0.6182000000178789,0,
zingen,1.0,zingen,True,zingen,,0.8664999999999878,1,5.292000000000002
lukken,0.0,,False,lukken,4.1649000000059715,0.6167000000178717,0,
blad,0.0,,False,blad,6.179800000011923,0.5664999999999907,0,
akkoord,0.0,,False,akkoord,5.4810999999940435,0.6324999999999932,0,
techniek,0.0,,False,techniek,9.895400000005964,0.54940000000596,0,
excuus,0.0,,False,excuus,4.614599999994027,0.5492000000178905,0,
smullen,0.0,,False,smullen,5.681000000000012,0.3663000000119041,0,
hechten,0.0,,False,hechten,5.29759999999402,0.40709999999404545,0,
opkijken,1.0,opkijken,True,opkijken,,0.42250000000001364,1,62.05140000000594
lever,1.0,lever,True,lever,,0.6833000000119398,1,7.246199999988079
zaal,0.0,,False,zaal,5.495800000011911,0.6165999999940368,0,
kasteel,0.0,,False,kasteel,5.514099999994045,0.6993000000119309,0,
vreten,0.0,,False,vreten,3.8985000000000127,0.733200000017888,0,
nodig,0.0,,False,nodig,6.2472999999820615,0.4159000000059905,0,
redding,0.0,,False,redding,10.737699999988081,3.14820000001788,0,
jurk,1.0,jurk,True,jurk,,0.7655999999940377,1,4.698500000000024
joggen,0.0,,False,joggen,5.947499999999991,0.46640000000599,0,
geld,0.0,,False,geld,5.912600000023872,0.4660000000000082,0,
aanzoek,0.0,,False,aanzoek,27.284699999988106,0.5664000000059559,0,
jaar,0.0,,False,jaar,4.481600000023832,0.81639999997617,0,
komisch,1.0,komisch,True,komisch,,0.4825000000000159,1,19.457700000017837
stof,0.0,,False,stof,3.581599999994012,0.5829000000059636,0,
aflopen,0.0,,False,aflopen,3.8489999999999895,0.4155999999940718,0,
mand,0.0,,False,mand,3.8140999999940277,0.4335999999940441,0,
gegeven,0.0,,False,gegeven,6.9800999999940245,0.44950000000000045,0,
