subject,script,column1,column2,stimuli,repetition,correlation,p_value,degrees_of_freedom
sub-00004,cb,readingTime,frequency,all,1,0.18944126818820697,0.35398418279791755,24
sub-00004,cb,checkingTime,frequency,all,1,0.2248281168695711,0.2694918118461297,24
sub-00004,cb,readingTime,frequency,all,2,-0.03841181621484817,0.8522108943533577,24
sub-00004,cb,checkingTime,frequency,all,2,-0.06771832949901514,0.7423880759500988,24
sub-00004,cb,readingTime,frequency,all,3,-0.39992191386384934,0.04294039939443084,24
sub-00004,cb,checkingTime,frequency,all,3,0.1390371745828928,0.4981598629140753,24
sub-00004,cb,readingTime,frequency,all,4,-0.15124496905953488,0.460799279350812,24
sub-00004,cb,checkingTime,frequency,all,4,0.34242963483243277,0.08682448411895452,24
sub-00004,cb,readingTime,frequency,all,5,0.06983762756948575,0.7346066070905515,24
sub-00004,cb,checkingTime,frequency,all,5,0.010247410552080328,0.9603749314992688,24
sub-00004,cb,readingTime,frequency,all,6,-0.05894852909724036,0.7748432470302855,24
sub-00004,cb,checkingTime,frequency,all,6,-0.13497289427275347,0.5109236558943622,24
sub-00004,cb,readingTime,frequency,all,7,-0.47762075429144757,0.013602779689188153,24
sub-00004,cb,checkingTime,frequency,all,7,-0.0013281256067338132,0.9948624101640862,24
sub-00008,br,readingTime,frequency,all,1,-0.012440711524277935,0.9519025676806945,24
sub-00008,br,checkingTime,frequency,all,1,-0.03550431177089779,0.8632901481934756,24
sub-00008,br,readingTime,frequency,all,2,0.012906186623826308,0.9501051372458059,24
sub-00008,br,checkingTime,frequency,all,2,-0.09174519489989258,0.6557812845257645,24
sub-00008,br,readingTime,frequency,all,3,0.2799771282624326,0.16596492526480083,24
sub-00008,br,checkingTime,frequency,all,3,-0.2775548513332168,0.16981340002337497,24
sub-00008,br,readingTime,frequency,all,4,-0.24606341784127775,0.22562194776182584,24
sub-00008,br,checkingTime,frequency,all,4,-0.13652202364115146,0.5060398657329712,24
sub-00008,br,readingTime,frequency,all,5,0.3261540033431898,0.10392947099003827,24
sub-00008,br,checkingTime,frequency,all,5,0.12659460181808674,0.5377302366698753,24
sub-00008,br,readingTime,frequency,all,6,0.18521254886636865,0.3650269528964009,24
sub-00008,br,checkingTime,frequency,all,6,-0.11504561243586521,0.5757298708845803,24
sub-00008,br,readingTime,frequency,all,7,0.14563884360173546,0.4777713686806677,24
sub-00008,br,checkingTime,frequency,all,7,-0.16975724755809005,0.40706647169045695,24
sub-00014,cb,readingTime,frequency,all,1,0.25666338313163567,0.20562131534387867,24
sub-00014,cb,checkingTime,frequency,all,1,0.10765124366454563,0.6006647329758275,24
sub-00014,cb,readingTime,frequency,all,2,0.1330618529674813,0.5169799922017142,24
sub-00014,cb,checkingTime,frequency,all,2,0.08780015426605653,0.6697421695819963,24
sub-00014,cb,readingTime,frequency,all,3,0.1157178567578285,0.5734858658148169,24
sub-00014,cb,checkingTime,frequency,all,3,0.6483269029227531,0.0003411781481463295,24
sub-00014,cb,readingTime,frequency,all,4,0.0008122071664177006,0.9968581253484282,24
sub-00014,cb,checkingTime,frequency,all,4,0.11130942483937538,0.5882716724468314,24
sub-00014,cb,readingTime,frequency,all,5,-0.03869551643244052,0.8511312601735725,24
sub-00014,cb,checkingTime,frequency,all,5,-0.08310869017070932,0.6864842863750191,24
sub-00014,cb,readingTime,frequency,all,6,0.6192056928351534,0.0007440159144240953,24
sub-00014,cb,checkingTime,frequency,all,6,-0.016278740479972385,0.9370896599763918,24
sub-00014,cb,readingTime,frequency,all,7,-0.20656367531468897,0.3113258635224418,24
sub-00014,cb,checkingTime,frequency,all,7,-0.1139847455854665,0.5792790002346002,24
sub-00015,cb,readingTime,frequency,all,1,0.2316132554358382,0.2549188214520179,24
sub-00015,cb,checkingTime,frequency,all,1,-0.24875961686057077,0.22041580033742467,24
sub-00015,cb,readingTime,frequency,all,2,0.33348020699943726,0.09594448024562469,24
sub-00015,cb,checkingTime,frequency,all,2,-0.09370254783434535,0.6488957125560884,24
sub-00015,cb,readingTime,frequency,all,3,-0.22179729734336778,0.27617069600526734,24
sub-00015,cb,checkingTime,frequency,all,3,-0.17940212919829748,0.3805240938596716,24
sub-00015,cb,readingTime,frequency,all,4,0.4275194535517317,0.029367066464336664,24
sub-00015,cb,checkingTime,frequency,all,4,0.27077192810682527,0.18092192226537715,24
sub-00015,cb,readingTime,frequency,all,5,0.3372207686050868,0.09204921455944932,24
sub-00015,cb,checkingTime,frequency,all,5,0.6666715925052242,0.00020003968081659215,24
sub-00015,cb,readingTime,frequency,all,6,0.17337384839977335,0.39699498148297535,24
sub-00015,cb,checkingTime,frequency,all,6,0.5414428677322319,0.004281951053290951,24
sub-00015,cb,readingTime,frequency,all,7,0.15388527162279014,0.4529167575012684,24
sub-00015,cb,checkingTime,frequency,all,7,0.030528413235310678,0.8823085727119568,24
sub-00017,cb,readingTime,frequency,all,1,-0.520057590075567,0.006463483616927235,24
sub-00017,cb,checkingTime,frequency,all,1,-0.07009430908699181,0.7336658564599057,24
sub-00017,cb,readingTime,frequency,all,2,0.151077516805301,0.4613016092658342,24
sub-00017,cb,checkingTime,frequency,all,2,0.11985698399391896,0.5597554402763316,24
sub-00017,cb,readingTime,frequency,all,3,0.056116081163391326,0.7854076097484057,24
sub-00017,cb,checkingTime,frequency,all,3,-0.19763839169110278,0.3331490323662496,24
sub-00017,cb,readingTime,frequency,all,4,0.23000499841286773,0.2583256620658645,24
sub-00017,cb,checkingTime,frequency,all,4,-0.13709830248570332,0.5042289734992649,24
sub-00017,cb,readingTime,frequency,all,5,0.010507173859730495,0.9593712720294272,24
sub-00017,cb,checkingTime,frequency,all,5,0.385835502882683,0.05156317984359142,24
sub-00017,cb,readingTime,frequency,all,6,0.10091119380898171,0.6237820252406658,24
sub-00017,cb,checkingTime,frequency,all,6,0.05357432581781053,0.7949194124902415,24
sub-00017,cb,readingTime,frequency,all,7,0.11991856055203316,0.5595523090782408,24
sub-00017,cb,checkingTime,frequency,all,7,-0.007902456082363356,0.9694377206047067,24
sub-00018,cb,readingTime,frequency,all,1,-0.09326605932446366,0.6504287845117034,24
sub-00018,cb,checkingTime,frequency,all,1,-0.3543606188751933,0.07570385122049117,24
sub-00018,cb,readingTime,frequency,all,2,0.03210790751919596,0.8762641862223155,24
sub-00018,cb,checkingTime,frequency,all,2,0.4166069842362353,0.03424718148422254,24
sub-00018,cb,readingTime,frequency,all,3,0.05109583243422326,0.804222046015062,24
sub-00018,cb,checkingTime,frequency,all,3,0.06338897654991558,0.7583603169842152,24
sub-00018,cb,readingTime,frequency,all,4,0.05296928347603012,0.7971878780401715,24
sub-00018,cb,checkingTime,frequency,all,4,-0.17733895344959366,0.38611645719524146,24
sub-00018,cb,readingTime,frequency,all,5,0.19599195570338881,0.3372731982141571,24
sub-00018,cb,checkingTime,frequency,all,5,-0.23315210333900127,0.2516865130381444,24
sub-00018,cb,readingTime,frequency,all,6,0.08590445321085818,0.6764892961293862,24
sub-00018,cb,checkingTime,frequency,all,6,-0.1561251679926395,0.44628593077807177,24
sub-00018,cb,readingTime,frequency,all,7,0.14729868392537235,0.4727132749213475,24
sub-00018,cb,checkingTime,frequency,all,7,-0.30955216922711715,0.12383737106505224,24
sub-00019,br,readingTime,frequency,all,1,0.060542527393980805,0.7689149903285354,24
sub-00019,br,checkingTime,frequency,all,1,-0.09542513530188705,0.6428591231333722,24
sub-00019,br,readingTime,frequency,all,2,-0.03223304763681266,0.8757855859669432,24
sub-00019,br,checkingTime,frequency,all,2,-0.17655448415602892,0.3882550654120106,24
sub-00019,br,readingTime,frequency,all,3,0.327486431544328,0.10244167768858044,24
sub-00019,br,checkingTime,frequency,all,3,-0.1416742926523318,0.48996387501676875,24
sub-00019,br,readingTime,frequency,all,4,0.13770947733784944,0.5023119266751723,24
sub-00019,br,checkingTime,frequency,all,4,0.024251077796597756,0.9063908603888591,24
sub-00019,br,readingTime,frequency,all,5,-0.10051963001185962,0.6251360286174499,24
sub-00019,br,checkingTime,frequency,all,5,-0.10519860134954545,0.6090349825472698,24
sub-00019,br,readingTime,frequency,all,6,-0.2641717927743543,0.192206233582703,24
sub-00019,br,checkingTime,frequency,all,6,-0.38393736869737966,0.05282186842560567,24
sub-00019,br,readingTime,frequency,all,7,0.2211916038513549,0.2775179867314014,24
sub-00019,br,checkingTime,frequency,all,7,-0.14947708568676119,0.4661170603904025,24
sub-00020,br,readingTime,frequency,all,1,0.014178626332155718,0.9451928534607337,24
sub-00020,br,checkingTime,frequency,all,1,-0.12205638376750147,0.5525208145854945,24
sub-00020,br,readingTime,frequency,all,2,-0.15619159840538038,0.4460900683932116,24
sub-00020,br,checkingTime,frequency,all,2,-0.0602500506045707,0.7700018077989377,24
sub-00020,br,readingTime,frequency,all,3,-0.262111375529689,0.1958259624405724,24
sub-00020,br,checkingTime,frequency,all,3,0.0905083289734817,0.6601465329162003,24
sub-00020,br,readingTime,frequency,all,4,0.15590939905521445,0.44692241652643594,24
sub-00020,br,checkingTime,frequency,all,4,-0.21007216430450365,0.3029949030824494,24
sub-00020,br,readingTime,frequency,all,5,-0.11294020508416645,0.582782869051738,24
sub-00020,br,checkingTime,frequency,all,5,0.042685990162505086,0.8359738502740666,24
sub-00020,br,readingTime,frequency,all,6,0.2084427042643099,0.3068466649419205,24
sub-00020,br,checkingTime,frequency,all,6,-0.07617974136499972,0.7114747408549551,24
