subject,script,column1,column2,stimuli,session,correlation,p_value,degrees_of_freedom
sub-00004,cb,readingTime,length,all,2,0.44639093158376925,3.370575774961059e-10,178
sub-00004,cb,readingTime,frequency,all,2,-0.07483056512229733,0.31810307017320244,178
sub-00004,cb,readingTime,old20,all,2,0.37725914928826676,1.785384566138922e-07,178
sub-00004,cb,readingTime,length,all,3,0.321625991425222,1.069852487009756e-05,178
sub-00004,cb,readingTime,frequency,all,3,-0.06993748333219611,0.3508634566607741,178
sub-00004,cb,readingTime,old20,all,3,0.38203139860100477,1.2105786428688387e-07,178
sub-00004,cb,readingTime,length,all,4,0.25825904021798646,0.0004646626653476961,178
sub-00004,cb,readingTime,frequency,all,4,-0.09138249323811136,0.22245051695691914,178
sub-00004,cb,readingTime,old20,all,4,0.27085063051304215,0.00023552466483132216,178
sub-00008,br,readingTime,length,all,2,0.18044205910679206,0.015644220597249205,177
sub-00008,br,readingTime,frequency,all,2,-0.016126531252360472,0.8303437932676058,177
sub-00008,br,readingTime,old20,all,2,0.036014623051307704,0.6322072422307983,177
sub-00008,br,readingTime,length,all,3,0.17964710816992358,0.01611565452273031,177
sub-00008,br,readingTime,frequency,all,3,-0.07124479782838773,0.34327327321691314,177
sub-00008,br,readingTime,old20,all,3,0.10740669575198512,0.15240742615495476,177
sub-00008,br,readingTime,length,all,4,-0.009419843079264278,0.9004057858135414,177
sub-00008,br,readingTime,frequency,all,4,-0.04995013754588166,0.5066774544511413,177
sub-00008,br,readingTime,old20,all,4,-0.05125015095928903,0.4956661906129647,177
sub-00014,cb,readingTime,length,all,2,0.44832932082311844,2.7676366839132396e-10,178
sub-00014,cb,readingTime,frequency,all,2,-0.10685193464090494,0.1533861634769751,178
sub-00014,cb,readingTime,old20,all,2,0.5132745515756161,1.7386993581190618e-13,178
sub-00014,cb,readingTime,length,all,3,0.36832767771881775,3.633832956100567e-07,178
sub-00014,cb,readingTime,frequency,all,3,-0.019459394796185376,0.7954185230362909,178
sub-00014,cb,readingTime,old20,all,3,0.4578715270170372,1.0299589433500452e-10,178
sub-00014,cb,readingTime,length,all,4,0.28387924684327553,0.00011252719766220778,178
sub-00014,cb,readingTime,frequency,all,4,0.1408534192774053,0.05929562442923801,178
sub-00014,cb,readingTime,old20,all,4,0.24228231132111,0.0010496306510688021,178
sub-00015,cb,readingTime,length,all,2,-0.01948195147216427,0.7991776315340524,171
sub-00015,cb,readingTime,frequency,all,2,0.009856150254531277,0.8975944616262636,171
sub-00015,cb,readingTime,old20,all,2,-0.046913303811477305,0.5399342378541757,171
sub-00015,cb,readingTime,length,all,3,0.027618714027358705,0.7128488705686901,178
sub-00015,cb,readingTime,frequency,all,3,-0.05714056367786303,0.4461178737804113,178
sub-00015,cb,readingTime,old20,all,3,0.011063089316012752,0.8828183759941289,178
sub-00015,cb,readingTime,length,all,4,0.05124167942055963,0.49451916783668803,178
sub-00015,cb,readingTime,frequency,all,4,-0.050460138089598865,0.5011343001681371,178
sub-00015,cb,readingTime,old20,all,4,0.10666282396251323,0.15411929222304743,178
sub-00017,cb,readingTime,length,all,2,0.35092958105323835,1.4625248176749623e-06,177
sub-00017,cb,readingTime,frequency,all,2,-0.09184680843815575,0.22140370829063705,177
sub-00017,cb,readingTime,old20,all,2,0.32669439779867776,8.069301216280842e-06,177
sub-00017,cb,readingTime,length,all,3,0.31261059594108875,2.040483310012883e-05,177
sub-00017,cb,readingTime,frequency,all,3,-0.1363365055350141,0.06879162541971884,177
sub-00017,cb,readingTime,old20,all,3,0.2514479233635564,0.0006855504740327566,177
sub-00017,cb,readingTime,length,all,4,0.09522069996746357,0.2035469926724414,178
sub-00017,cb,readingTime,frequency,all,4,-0.017653456621588015,0.8140424368697958,178
sub-00017,cb,readingTime,old20,all,4,0.09459247874528368,0.2065589930868433,178
sub-00018,cb,readingTime,length,all,2,0.2487083207825222,0.000761056740130602,178
sub-00018,cb,readingTime,frequency,all,2,-0.08808468266218267,0.23966125303693908,178
sub-00018,cb,readingTime,old20,all,2,0.30867179553914553,2.4886605391040106e-05,178
sub-00018,cb,readingTime,length,all,3,0.18851887174268386,0.011974889913818986,175
sub-00018,cb,readingTime,frequency,all,3,-0.06981929046586685,0.3557824356619637,175
sub-00018,cb,readingTime,old20,all,3,0.21332885063707646,0.00435902184550438,175
sub-00018,cb,readingTime,length,all,4,0.1197391436726554,0.10936741303701625,178
sub-00018,cb,readingTime,frequency,all,4,0.08750308392740613,0.24279055932857327,178
sub-00018,cb,readingTime,old20,all,4,0.11967692671062528,0.10955311811509817,178
sub-00019,br,readingTime,length,all,2,0.26273769852605244,0.0003662949756740013,178
sub-00019,br,readingTime,frequency,all,2,-0.02261823416886083,0.7631248015350428,178
sub-00019,br,readingTime,old20,all,2,0.275902260625519,0.00017764175277339972,178
sub-00019,br,readingTime,length,all,3,0.2559409507807964,0.0005246823856870378,178
sub-00019,br,readingTime,frequency,all,3,-0.041197704669075574,0.5829315238285749,178
sub-00019,br,readingTime,old20,all,3,0.23793421541464033,0.0012985459829124107,178
sub-00019,br,readingTime,length,all,4,0.038118240786524905,0.6144579971370868,175
sub-00019,br,readingTime,frequency,all,4,-0.04088324356487564,0.5889981608194469,175
sub-00019,br,readingTime,old20,all,4,0.03286806279845592,0.6640703949275177,175
