column1,column2,stimuli,session,correlation,p_value,degrees_of_freedom
score_br,length,all,2,-0.14900989016981772,0.530659249314059,18
score_br,frequency,all,2,0.28695907712223845,0.21993876940315993,18
score_br,old20,all,2,-0.12733619681833788,0.592661371361699,18
score_cb,length,all,2,-0.07799775759670334,0.7437776639857114,18
score_cb,frequency,all,2,0.06401388605164562,0.7886068331623288,18
score_cb,old20,all,2,-0.19281724999061708,0.41537748684902687,18
writingTime_br,length,all,2,0.8892086314978942,1.587657433471768e-07,18
writingTime_br,frequency,all,2,-0.22561437232703432,0.338860009567427,18
writingTime_br,old20,all,2,0.8601941894278364,1.1536587331027938e-06,18
writingTime_cb,length,all,2,0.7202856719144569,0.0003413775700877458,18
writingTime_cb,frequency,all,2,-0.19423420588906837,0.4118918509862024,18
writingTime_cb,old20,all,2,0.7598355685700733,0.00010153639952513511,18
score_br,length,all,3,0.4936088862858132,0.02697957421226813,18
score_br,frequency,all,3,0.1586770693501819,0.5040146101765064,18
score_br,old20,all,3,0.49118098841149305,0.027858725244708053,18
score_cb,length,all,3,0.25689394788179654,0.27423150467300084,18
score_cb,frequency,all,3,-0.1893655881333218,0.4239346617212746,18
score_cb,old20,all,3,0.2803631686664978,0.2311945733719588,18
writingTime_br,length,all,3,0.5447472587844164,0.013005259507021215,18
writingTime_br,frequency,all,3,-0.05472606600283607,0.818748654044674,18
writingTime_br,old20,all,3,0.21872362448346086,0.3542041314816571,18
writingTime_cb,length,all,3,0.7206247627601043,0.00033813699051770145,18
writingTime_cb,frequency,all,3,0.07948438543115931,0.739055505023553,18
writingTime_cb,old20,all,3,0.5800116006047047,0.007345075306549561,18
score_br,length,all,4,0.09449111825230659,0.6919159979185572,18
score_br,frequency,all,4,-0.08410437143895595,0.7244384492467462,18
score_br,old20,all,4,0.17934464825750643,0.449303768336292,18
score_cb,length,all,4,-0.14213381090374025,0.5499994829663213,18
score_cb,frequency,all,4,0.2004918951122232,0.39668930129673863,18
score_cb,old20,all,4,0.15025205434806294,0.5271994305951879,18
writingTime_br,length,all,4,0.5071472081029399,0.022470262948723986,18
writingTime_br,frequency,all,4,-0.13094136380496843,0.5821407787351224,18
writingTime_br,old20,all,4,0.4196007466513564,0.065511494527691,18
writingTime_cb,length,all,4,0.5624448803422996,0.009838106756041205,18
writingTime_cb,frequency,all,4,-0.28012309423449294,0.23161117372260726,18
writingTime_cb,old20,all,4,0.5217743270390405,0.01829287064352373,18
