subject,script,column1,column2,stimuli,session,correlation,p_value,degrees_of_freedom
sub-00004,cb,score,length,all,2,,,18
sub-00004,cb,score,frequency,all,2,,,18
sub-00004,cb,score,old20,all,2,,,18
sub-00004,cb,writingTime,length,all,2,0.256671480253964,0.2746618552282058,18
sub-00004,cb,writingTime,frequency,all,2,-0.08349780641302831,0.7263524391435308,18
sub-00004,cb,writingTime,old20,all,2,0.2711772068246117,0.2474825441500238,18
sub-00004,cb,score,length,all,3,0.32444284226152514,0.16282885489702595,18
sub-00004,cb,score,frequency,all,3,0.028362027415332017,0.9055169751046754,18
sub-00004,cb,score,old20,all,3,0.25931734926581534,0.26957085669474323,18
sub-00004,cb,writingTime,length,all,3,0.7015451614977712,0.0005668456483851587,18
sub-00004,cb,writingTime,frequency,all,3,-0.05024674664090047,0.8333761343639703,18
sub-00004,cb,writingTime,old20,all,3,0.6496582477211448,0.001933912146139609,18
sub-00004,cb,score,length,all,4,,,18
sub-00004,cb,score,frequency,all,4,,,18
sub-00004,cb,score,old20,all,4,,,18
sub-00004,cb,writingTime,length,all,4,0.5725074023526904,0.008337777160065134,18
sub-00004,cb,writingTime,frequency,all,4,-0.2744593004560103,0.24158088888261753,18
sub-00004,cb,writingTime,old20,all,4,0.5687263431257388,0.008877931950550146,18
sub-00008,br,score,length,all,2,-0.19802950859533489,0.4026341520761195,18
sub-00008,br,score,frequency,all,2,0.16727221356843422,0.4808802223489737,18
sub-00008,br,score,old20,all,2,-0.012087560311599245,0.9596617550400882,18
sub-00008,br,writingTime,length,all,2,0.6539348253892088,0.0017628921100682254,18
sub-00008,br,writingTime,frequency,all,2,-0.022857644517171163,0.9237966314056725,18
sub-00008,br,writingTime,old20,all,2,0.6621778430156808,0.0014688559479862872,18
sub-00008,br,score,length,all,3,0.4714045207910317,0.03588799881362985,18
sub-00008,br,score,frequency,all,3,0.013002832524493186,0.9566099925597854,18
sub-00008,br,score,old20,all,3,0.6187477780930244,0.0036317737505177743,18
sub-00008,br,writingTime,length,all,3,0.19744552363415288,0.4040511664341806,18
sub-00008,br,writingTime,frequency,all,3,-0.04061063250931507,0.8650168026378364,18
sub-00008,br,writingTime,old20,all,3,-0.07753476566381094,0.7452501311809426,18
sub-00008,br,score,length,all,4,,,18
sub-00008,br,score,frequency,all,4,,,18
sub-00008,br,score,old20,all,4,,,18
sub-00008,br,writingTime,length,all,4,0.14967985833237032,0.5287918693056255,18
sub-00008,br,writingTime,frequency,all,4,-0.09532416523693528,0.6893290961513352,18
sub-00008,br,writingTime,old20,all,4,0.12456952388450517,0.600788630936923,18
sub-00014,cb,score,length,all,2,,,18
sub-00014,cb,score,frequency,all,2,,,18
sub-00014,cb,score,old20,all,2,,,18
sub-00014,cb,writingTime,length,all,2,0.7394677958071256,0.0001946670278245812,18
sub-00014,cb,writingTime,frequency,all,2,-0.3943235253298373,0.0853536823479302,18
sub-00014,cb,writingTime,old20,all,2,0.7510642418061791,0.0001353877579573355,18
sub-00014,cb,score,length,all,3,,,18
sub-00014,cb,score,frequency,all,3,,,18
sub-00014,cb,score,old20,all,3,,,18
sub-00014,cb,writingTime,length,all,3,0.5606924373474147,0.010120529664863967,18
sub-00014,cb,writingTime,frequency,all,3,-0.047670761134536624,0.8418124186157077,18
sub-00014,cb,writingTime,old20,all,3,0.3331252667354355,0.15122134704652287,18
sub-00014,cb,score,length,all,4,,,18
sub-00014,cb,score,frequency,all,4,,,18
sub-00014,cb,score,old20,all,4,,,18
sub-00014,cb,writingTime,length,all,4,0.477358976460964,0.03330173232569224,18
sub-00014,cb,writingTime,frequency,all,4,-0.19685204850665053,0.4054939978729948,18
sub-00014,cb,writingTime,old20,all,4,0.6059925741629353,0.004624541895651289,18
sub-00015,cb,score,length,all,2,-0.32444284226152514,0.16282885489702595,18
sub-00015,cb,score,frequency,all,2,0.15418066673364686,0.5163267604024613,18
sub-00015,cb,score,old20,all,2,-0.33666336735594615,0.1466607552984412,18
sub-00015,cb,writingTime,length,all,2,0.6210060992421909,0.003475961457813748,18
sub-00015,cb,writingTime,frequency,all,2,-0.24656618013994064,0.29465377851233077,18
sub-00015,cb,writingTime,old20,all,2,0.6789660318654849,0.0009955924261681847,18
sub-00015,cb,score,length,all,3,,,18
sub-00015,cb,score,frequency,all,3,,,18
sub-00015,cb,score,old20,all,3,,,18
sub-00015,cb,writingTime,length,all,3,0.5728912335374488,0.008284477745324738,18
sub-00015,cb,writingTime,frequency,all,3,0.07104766731564163,0.7659686161916663,18
sub-00015,cb,writingTime,old20,all,3,0.2970124079886761,0.2034850131962547,18
sub-00015,cb,score,length,all,4,-0.3535533905932738,0.1262116099538717,18
sub-00015,cb,score,frequency,all,4,0.13733726329425153,0.5636755108802108,18
sub-00015,cb,score,old20,all,4,-0.12458242206315293,0.6007506352740268,18
sub-00015,cb,writingTime,length,all,4,0.21774017431556153,0.35642622897905385,18
sub-00015,cb,writingTime,frequency,all,4,0.023108171011018492,0.9229637838957439,18
sub-00015,cb,writingTime,old20,all,4,0.10866619300200699,0.6483660857834284,18
sub-00017,cb,score,length,all,2,-0.16222142113076257,0.49441028491912387,18
sub-00017,cb,score,frequency,all,2,-0.05551507919514415,0.8161779060643332,18
sub-00017,cb,score,old20,all,2,-0.33666336735594615,0.1466607552984412,18
sub-00017,cb,writingTime,length,all,2,0.5219302244110057,0.018251957476184768,18
sub-00017,cb,writingTime,frequency,all,2,0.30368091281445364,0.1930349729136078,18
sub-00017,cb,writingTime,old20,all,2,0.49852215859196464,0.0252673960300765,18
sub-00017,cb,score,length,all,3,-0.16222142113076257,0.49441028491912387,18
sub-00017,cb,score,frequency,all,3,0.07935426670402747,0.7394684609298353,18
sub-00017,cb,score,old20,all,3,-0.02616964075159598,0.9127927528656166,18
sub-00017,cb,writingTime,length,all,3,0.5018282778601387,0.024164436128373924,18
sub-00017,cb,writingTime,frequency,all,3,-0.18639498256877587,0.4313739786354004,18
sub-00017,cb,writingTime,old20,all,3,0.6031247302242164,0.004876095739482761,18
sub-00017,cb,score,length,all,4,,,18
sub-00017,cb,score,frequency,all,4,,,18
sub-00017,cb,score,old20,all,4,,,18
