subject,script,session,woord,tested,response,score,readingTime,checkingTime,writingTime
sub-00004,cb,2,graaf,0,,False,8.507200000047675,1.4950999999046246,
sub-00004,cb,2,stal,0,,False,4.631499999999988,0.8894000000953781,
sub-00004,cb,2,vuur,0,,False,6.913299999952301,1.4707000000476853,
sub-00004,cb,2,vervoer,0,,False,12.129299999952307,3.6431000001430505,
sub-00004,cb,2,schat,0,,False,11.164399999856954,0.870700000047691,
sub-00004,cb,2,vinger,0,,False,9.911,2.4039999999999964,
sub-00004,cb,2,schep,0,,False,11.865399999856947,1.8177999999523136,
sub-00004,cb,2,mist,0,,False,5.805600000143045,0.5592999999523158,
sub-00004,cb,2,bloeien,0,,False,11.31270000004767,1.0030999999046344,
sub-00004,cb,2,sufferd,0,,False,11.479599999904622,0.9379000000953396,
sub-00004,cb,2,weeshuis,0,,False,13.529099999904645,0.9729000000953648,
sub-00004,cb,2,dans,0,,False,8.098100000143063,0.568899999856967,
sub-00004,cb,2,verhaal,0,,False,10.063499999999976,0.5875999999046826,
sub-00004,cb,2,geluid,0,,False,7.632100000143055,2.235500000000002,
sub-00004,cb,2,daarheen,0,,False,7.430299999952354,1.6859999999999786,
sub-00004,cb,2,aanzien,0,,False,11.813499999999976,1.85450000000003,
sub-00004,cb,2,laken,0,,False,5.53000000000003,1.9343999998569077,
sub-00004,cb,2,muziek,0,,False,7.26359999990467,0.9529999999999744,
sub-00004,cb,2,blik,1,BLIK,True,,1.3777999999523445,11.59890000009534
sub-00004,cb,2,lukken,0,,False,17.23809999990459,1.4602000000477346,
sub-00004,cb,2,piste,0,,False,5.448599999904616,1.1174000000954152,
sub-00004,cb,2,mand,0,,False,10.631000000000029,0.635799999952269,
sub-00004,cb,2,strak,0,,False,5.046600000143087,1.490299999952299,
sub-00004,cb,2,kanjer,0,,False,12.860700000047643,0.6696999998092679,
sub-00004,cb,2,slak,0,,False,3.082499999999982,0.6907999999523327,
sub-00004,cb,2,zuster,0,,False,6.565700000047684,1.084900000095388,
sub-00004,cb,2,poes,0,,False,3.6472000000476896,0.9495999999046488,
sub-00004,cb,2,stiekem,1,STIEKEM,True,,0.8588999998569307,9.512900000095383
sub-00004,cb,2,maken,0,,False,8.064700000047708,0.5845999999046398,
sub-00004,cb,2,praat,0,,False,6.378900000095371,0.5692999999523067,
sub-00004,cb,2,openbaar,0,,False,10.561799999952314,0.488099999904648,
sub-00004,cb,2,mode,0,,False,5.8986000001430625,0.8881999998092738,
sub-00004,cb,2,kleren,0,,False,6.962200000047687,0.5022999999523563,
sub-00004,cb,2,nodig,0,,False,18.561799999952314,1.4866000001430848,
sub-00004,cb,2,woede,0,,False,4.36200000000008,0.4946000001430093,
sub-00004,cb,2,uitlaat,0,,False,6.52729999995222,0.5919000000953929,
sub-00004,cb,2,schuilen,0,,False,7.448400000095376,0.5518999998569143,
sub-00004,cb,2,opzicht,0,,False,16.089500000000044,0.6747000000476646,
sub-00004,cb,2,redding,0,,False,13.1302999999524,18.952999999999975,
sub-00004,cb,2,aanzoek,0,,False,5.43100000000004,1.1168999998569689,
sub-00004,cb,2,hiervan,0,,False,12.664999999999964,0.5364000000954547,
sub-00004,cb,2,palm,0,,False,8.748299999952337,0.5519999999999072,
sub-00004,cb,2,weigeren,0,,False,8.596200000047588,10.05229999995231,
sub-00004,cb,2,schaamte,0,,False,7.130700000047682,0.7022999999522881,
sub-00004,cb,2,vlek,0,,False,7.997100000143064,0.5021999998092497,
sub-00004,cb,2,middelen,0,,False,9.379500000000007,0.9702999999523172,
sub-00004,cb,2,wegen,0,,False,4.66599999999994,0.5842000000477583,
sub-00004,cb,2,ijdel,0,,False,12.992400000095358,0.6920999999045989,
sub-00004,cb,2,schatten,0,,False,6.495799999952396,4.819100000142953,
sub-00004,cb,2,liefje,0,,False,16.99750000000006,0.9054000000953693,
sub-00004,cb,2,moes,0,,False,7.199499999999944,0.9046000001430912,
