woord,session,length,syllabels,frequency,phonemes,old20,pld30
aandelen,4,8,3,1542,6,1.75,1.86666666666667
aanraden,0,8,3,360,6,1.5,1.7
aanzien,0,7,2,998,5,1.7,1.76666666666667
aanzoek,0,7,2,917,5,1.8,1.86666666666667
aarzelen,0,8,3,347,6,1.9,1.9
aflopen,0,7,3,837,6,1.7,1.66666666666667
afnemen,0,7,3,1448,6,1.75,1.8
afval,0,5,2,1761,4,1.8,1.73333333333333
akkoord,2,7,2,4981,5,2.7,1.9
anarchie,0,8,3,250,6,2.75,2.9
apparaat,0,8,3,2962,6,2.7,2.16666666666667
attentie,0,8,3,2094,6,2.35,2.4
baai,0,4,1,547,3,1.0,1.16666666666667
baas,0,4,1,25243,3,1.0,1.0
baron,0,5,2,1102,5,1.65,1.83333333333333
bedoelen,0,8,3,927,6,1.75,1.76666666666667
beseffen,0,8,3,1370,6,2.45,2.1
besmet,0,6,2,1840,6,1.95,1.93333333333333
bever,0,5,2,385,5,1.2,1.63333333333333
bijkomen,3,8,3,401,6,1.9,1.93333333333333
bisschop,0,8,2,858,6,2.65,2.2
blad,0,4,1,1333,4,1.65,1.46666666666667
bleek,0,5,1,3292,4,1.5,1.43333333333333
blijven,3,7,2,64554,5,1.65,1.66666666666667
blik,2,4,1,4705,4,1.2,1.43333333333333
bloeien,0,7,2,316,5,1.4,1.46666666666667
boeien,0,6,2,1405,4,1.0,1.13333333333333
daarheen,0,8,2,3428,6,2.45,2.5
dans,4,4,1,4175,4,1.1,1.36666666666667
diep,0,4,1,8789,3,1.15,1.16666666666667
doodmoe,0,7,2,323,5,2.35,2.26666666666667
driemaal,0,8,2,310,6,2.8,2.33333333333333
dubbel,0,6,2,2302,5,1.8,1.8
eenhoorn,0,8,2,409,6,2.6,2.46666666666667
eetlust,4,7,2,529,6,2.45,2.3
excuus,0,6,2,3285,6,2.75,2.76666666666667
feestdag,0,8,2,432,6,2.8,2.6
flirt,3,5,1,595,5,1.85,1.83333333333333
flits,0,5,1,505,5,1.6,1.73333333333333
gebit,0,5,2,468,5,1.3,1.3
gedicht,0,7,2,1516,6,1.6,1.5
geduld,3,6,2,3904,6,1.4,1.4
gegeven,0,7,3,20664,6,1.65,1.8
geheim,0,6,2,13583,5,1.9,1.86666666666667
geit,2,4,1,1063,3,1.0,1.0
geld,0,4,1,90368,4,1.4,1.26666666666667
geliefd,0,7,2,870,6,1.5,1.6
geluid,0,6,2,6350,5,1.3,1.36666666666667
gerucht,0,7,2,1637,6,1.5,1.46666666666667
getuigen,3,8,3,5771,6,1.8,1.8
gezond,0,6,2,4392,6,1.55,1.66666666666667
goedkoop,0,8,2,1986,6,2.85,2.7
graaf,0,5,1,2353,4,1.25,1.4
grappen,0,7,2,1669,5,1.75,1.5
groen,3,5,1,3446,4,1.5,1.6
hechten,3,7,2,516,5,1.65,1.7
heengaan,0,8,2,799,6,2.4,2.43333333333333
heilig,0,6,2,1476,5,1.8,1.9
hier,0,4,1,562402,3,1.0,1.06666666666667
hiervan,0,7,2,4283,6,2.2,2.4
huisdier,2,8,2,887,6,2.7,2.46666666666667
ijdel,0,5,2,270,4,1.9,1.83333333333333
innemen,0,7,3,1515,5,1.9,1.83333333333333
invloed,4,7,2,3353,6,2.1,1.93333333333333
jaar,0,4,1,102732,3,1.15,1.4
jagen,0,5,2,4552,4,1.25,1.43333333333333
jasje,3,5,2,1902,5,1.55,1.76666666666667
joggen,3,6,2,481,4,1.5,1.8
jurk,4,4,1,6678,4,1.55,1.76666666666667
kaal,0,4,1,1112,3,1.0,1.0
kabel,0,5,2,1382,5,1.35,1.6
kanjer,0,6,2,740,6,1.75,1.86666666666667
kasteel,0,7,2,2903,6,1.95,1.93333333333333
keihard,0,7,2,1001,6,2.45,2.43333333333333
kennis,0,6,2,6958,5,1.9,1.7
klauw,0,5,1,345,4,1.6,1.63333333333333
kleren,0,6,2,12188,5,1.3,1.56666666666667
klimmen,0,7,2,1693,5,1.7,1.43333333333333
knaap,3,5,1,793,4,1.75,1.66666666666667
knie,0,4,1,1867,3,1.7,1.8
knielen,3,7,2,501,5,1.7,1.6
koffie,2,6,2,15851,4,1.95,1.8
komisch,4,7,2,234,5,1.85,1.76666666666667
koppen,0,6,2,1306,4,1.1,1.0
kreeft,2,6,1,786,5,1.8,1.8
kring,2,5,1,418,4,1.65,1.56666666666667
kust,0,4,1,3661,4,1.0,1.13333333333333
laag,0,4,1,4427,3,1.0,1.0
