subject,script,ses-1_test-accuracy,ses-1_test-reading,ses-1_test-writing,ses-1_train-reading,ses-1_train-checking,ses-2_test-accuracy,ses-2_test-reading,ses-2_test-writing,ses-2_train-accuracy,ses-2_train-reading,ses-2_train-checking,ses-2_train-writing,ses-2_ref-reading,ses-2_ref-checking,ses-3_test-accuracy,ses-3_test-reading,ses-3_test-writing,ses-3_train-accuracy,ses-3_train-reading,ses-3_train-checking,ses-3_train-writing,ses-4_test-accuracy,ses-4_test-reading,ses-4_test-writing,ses-4_train-accuracy,ses-4_train-reading,ses-4_train-checking,ses-4_train-writing
00004,cb,0.2,5.99432500000396,8.02436499999762,1.51725604396207,2.8965510988956,0.7,5.98395333333015,5.19876499999762,1,8.5800711111082,2.31509450000405,9.42318000001906,1.51425384615935,2.57744230768314,0.783333333333333,5.98441333334047,4.19202666667704,0.95,6.90383611110316,0.804494499993329,8.09204500002861,0.8,5.9849700000127,3.53371000001033,1,5.83625888888439,1.34572850000262,7.41762999999522
00008,br,0,6.00046999999978,10.771275000002,1.50922417582342,8.48411428571501,0.183333333333333,6.00142833333411,7.44991499999566,0.85,12.8400844444437,1.45335500000118,22.7031399999946,1.51231153847163,6.47995384614513,0.366666666666667,6.0011016666641,5.36115499999919,0.9,5.63209333333141,0.879731000001428,15.8753150000006,0.383333333333333,5.9999966666589,5.53648833333748,1,6.45009722222123,0.624782999998324,17.7001
00014,cb,0.316666666666667,5.99525833333082,11.4380233333345,1.50990384615335,3.24460824175884,0.766666666666667,5.99070333333167,7.32344000000407,1,9.40518944444624,1.42048799999906,11.7783499999985,1.51341923076372,3.96067692308243,0.8,5.99296666666961,4.92485666666729,1,6.63349944444267,0.756557499998507,8.81323499999938,0.783333333333333,5.99049166666562,4.12743999999963,1,5.93717777777811,0.603419999999994,7.35308999999763
00015,cb,0.05,5.99204666666439,23.7347383333345,1.52146208791206,8.84376043956047,0.783333333333333,5.98988833333749,4.93052666666507,0.95,12.689692222224,2.13611700000017,12.4115900000006,1.51193076923719,4.2216269230705,0.883333333333333,5.99096333333554,3.84932666666306,1,3.91510111111402,0.99939099999845,8.72161500000359,0.75,6.0069583333353,4.47568499999944,0.9,6.003766666667,1.07409300000042,8.27975499999523
00017,cb,0.55,5.99265000000002,4.76911666666667,1.51784065934066,3.82168131868131,0.716666666666667,5.99310000000002,9.10423333333335,NaN,6.59696132596686,1.293985,7.09115789473685,1.51726923076923,2.99919230769231,0.916666666666667,5.99185166663724,3.72949500001273,0.95,5.42994999999603,0.657292499995232,7.02251499997379,0.933333333333333,5.9924666666666,2.25945000000003,1,5.7403,0.789814999999999,8.75100000000001
00018,cb,0.3,5.99565666665239,9.88481000001033,1.51561043955336,7.43935769231504,0.616666666666667,5.99596166665953,5.66221500000953,1,11.5958099999931,1.29777700000168,10.9142799999952,1.5119307692326,5.1726807692326,0.683333333333333,5.99291500000557,5.34355999999442,0.8,12.5117827777849,0.723791999999282,9.78514500000477,0.8,5.98931166665953,3.72266666669049,1,7.11696499999232,0.604432500005961,7.8578100000024
00019,br,0.1,5.980971666646,7.71262666670481,1.5154873626468,4.01039340658502,0.65,5.98735999997458,7.05912666668099,0.95,10.8035600000222,0.946995499985219,14.6844749999523,1.51443461533693,4.92639615389017,0.916666666666667,5.9915333333333,6.02488166665239,0.95,5.91994555555715,0.828755499997148,8.67389000000952,0.9,5.99085666670799,21.1315883332968,0.95,7.88923277779156,0.551984000003334,7.00927000002861
00020,br,0.2,5.99319833333444,5.2104900000016,1.51576978022024,2.75901978021934,0.75,5.99094333333472,3.55116499999463,0.95,6.74721111111112,1.21651050000071,8.17674999999404,1.51204999999587,3.75849615384982,0.9,5.9915566666623,2.40567166666882,1,4.93061388889021,0.779452000001664,6.60684999999704,0.95,5.99122833333318,2.34326166666544,1,4.84239388889372,0.937418999999169,6.42787999998927
00024,cb,0.333333333333333,5.99246666673026,8.70755499989192,1.51498846156781,2.77693571426056,0.65,5.9881383333206,12.4494450000763,1,10.4353555555026,1.02461300004959,11.6045550001144,1.515342307751,2.77457307683504,0.8,5.99408833325704,9.23504166682564,1,8.18626777777141,1.4588179999733,8.01272999982835,0.916666666666667,5.99179833345411,6.05252833340965,0.9,6.35189499999152,0.898866499996187,8.48467999992368
00025,cb,0.0333333333333333,5.99170666666429,3.50856833333571,1.51509725273966,6.00439175824935,0.416666666666667,5.99254333331186,3.41256333332463,0.7,9.56526166666615,3.50637649999737,9.83602499996423,1.51668076925095,5.14693461536444,0.85,5.99241666667068,4.65775166667699,0.8,6.47307055554655,1.49340050000191,10.1188,0.783333333333333,5.99269833333093,3.39119833334288,0.9,5.94761888889604,1.12383700001478,6.79903999994993
